team,conference,week,role,penalty_type,total_penalties,total_yards,avg_yards_per_penalty,AP_rank,Coaches_rank
Air Force,Mountain West,1,committed,Holding,2,0,0.0,NR,NR
Air Force,Mountain West,1,committed,Illegal Formation,1,6,6.0,NR,NR
Air Force,Mountain West,1,committed,Offside,1,5,5.0,NR,NR
Air Force,Mountain West,1,drawn,False Start,2,5,2.5,NR,NR
Air Force,Mountain West,1,drawn,Other / Unclassified,1,0,0.0,NR,NR
Air Force,Mountain West,1,drawn,Pass Interference,2,20,10.0,NR,NR
Air Force,Mountain West,1,drawn,Personal Foul,2,0,0.0,NR,NR
Air Force,Mountain West,3,committed,Holding,2,0,0.0,NR,NR
Air Force,Mountain West,3,committed,Other / Unclassified,1,10,10.0,NR,NR
Air Force,Mountain West,3,committed,Unsportsmanlike Conduct,1,0,0.0,NR,NR
Air Force,Mountain West,3,drawn,False Start,1,0,0.0,NR,NR
Air Force,Mountain West,3,drawn,Other / Unclassified,2,10,5.0,NR,NR
Air Force,Mountain West,3,drawn,Pass Interference,1,0,0.0,NR,NR
Air Force,Mountain West,3,drawn,Personal Foul,1,0,0.0,NR,NR
Air Force,Mountain West,4,committed,False Start,1,5,5.0,NR,NR
Air Force,Mountain West,4,committed,Holding,4,16,4.0,NR,NR
Air Force,Mountain West,4,committed,Offside,1,5,5.0,NR,NR
Air Force,Mountain West,4,committed,Other / Unclassified,1,7,7.0,NR,NR
Air Force,Mountain West,4,committed,Roughing the Passer,1,15,15.0,NR,NR
Air Force,Mountain West,4,drawn,False Start,3,15,5.0,NR,NR
Air Force,Mountain West,4,drawn,Holding,2,10,5.0,NR,NR
Air Force,Mountain West,4,drawn,Illegal Formation,1,5,5.0,NR,NR
Air Force,Mountain West,4,drawn,Other / Unclassified,2,25,12.5,NR,NR
Air Force,Mountain West,4,drawn,Pass Interference,1,7,7.0,NR,NR
Air Force,Mountain West,4,drawn,Personal Foul,1,8,8.0,NR,NR
Air Force,Mountain West,5,committed,Face Mask,1,2,2.0,NR,NR
Air Force,Mountain West,5,committed,False Start,1,5,5.0,NR,NR
Air Force,Mountain West,5,committed,Offside,1,0,0.0,NR,NR
Air Force,Mountain West,5,committed,Other / Unclassified,2,5,2.5,NR,NR
Air Force,Mountain West,5,drawn,Delay of Game,1,2,2.0,NR,NR
Air Force,Mountain West,5,drawn,Holding,1,9,9.0,NR,NR
Air Force,Mountain West,5,drawn,Other / Unclassified,2,5,2.5,NR,NR
Air Force,Mountain West,5,drawn,Personal Foul,1,3,3.0,NR,NR
Air Force,Mountain West,6,committed,Holding,1,10,10.0,NR,NR
Air Force,Mountain West,6,committed,Pass Interference,1,10,10.0,NR,NR
Air Force,Mountain West,6,drawn,Delay of Game,3,15,5.0,NR,NR
Air Force,Mountain West,6,drawn,False Start,2,6,3.0,NR,NR
Air Force,Mountain West,6,drawn,Holding,1,0,0.0,NR,NR
Air Force,Mountain West,6,drawn,Offside,1,0,0.0,NR,NR
Air Force,Mountain West,6,drawn,Other / Unclassified,1,15,15.0,NR,NR
Air Force,Mountain West,6,drawn,Personal Foul,1,15,15.0,NR,NR
Air Force,Mountain West,7,committed,Face Mask,2,18,9.0,NR,NR
Air Force,Mountain West,7,committed,False Start,2,10,5.0,NR,NR
Air Force,Mountain West,7,committed,Holding,1,0,0.0,NR,NR
Air Force,Mountain West,7,committed,Other / Unclassified,2,10,5.0,NR,NR
Air Force,Mountain West,7,drawn,Face Mask,1,0,0.0,NR,NR
Air Force,Mountain West,7,drawn,False Start,2,10,5.0,NR,NR
Air Force,Mountain West,7,drawn,Holding,2,20,10.0,NR,NR
Air Force,Mountain West,7,drawn,Offside,1,0,0.0,NR,NR
Air Force,Mountain West,7,drawn,Other / Unclassified,2,19,9.5,NR,NR
Air Force,Mountain West,7,drawn,Pass Interference,2,70,35.0,NR,NR
Air Force,Mountain West,7,drawn,Unsportsmanlike Conduct,1,16,16.0,NR,NR
Air Force,Mountain West,8,committed,False Start,2,5,2.5,NR,NR
Air Force,Mountain West,8,drawn,False Start,1,5,5.0,NR,NR
Air Force,Mountain West,8,drawn,Holding,1,10,10.0,NR,NR
Air Force,Mountain West,10,committed,Illegal Formation,1,2,2.0,NR,NR
Air Force,Mountain West,10,committed,Pass Interference,1,15,15.0,NR,NR
Air Force,Mountain West,10,committed,Roughing the Passer,1,13,13.0,NR,NR
Air Force,Mountain West,10,drawn,Illegal Formation,1,16,16.0,NR,NR
Air Force,Mountain West,10,drawn,Pass Interference,1,15,15.0,NR,NR
Air Force,Mountain West,10,drawn,Personal Foul,1,6,6.0,NR,NR
Air Force,Mountain West,11,committed,Face Mask,1,1,1.0,NR,NR
Air Force,Mountain West,11,committed,False Start,1,5,5.0,NR,NR
Air Force,Mountain West,11,committed,Holding,5,28,5.6,NR,NR
Air Force,Mountain West,11,committed,Illegal Formation,1,3,3.0,NR,NR
Air Force,Mountain West,11,committed,Personal Foul,1,1,1.0,NR,NR
Air Force,Mountain West,11,drawn,Holding,3,36,12.0,NR,NR
Air Force,Mountain West,11,drawn,Pass Interference,1,15,15.0,NR,NR
Air Force,Mountain West,12,committed,False Start,1,5,5.0,NR,NR
Air Force,Mountain West,12,committed,Holding,1,4,4.0,NR,NR
Air Force,Mountain West,12,drawn,Holding,2,1,0.5,NR,NR
Air Force,Mountain West,12,drawn,Illegal Formation,1,31,31.0,NR,NR
Akron,Mid-American,1,committed,Delay of Game,2,5,2.5,NR,NR
Akron,Mid-American,1,committed,Holding,1,0,0.0,NR,NR
Akron,Mid-American,1,committed,Other / Unclassified,3,5,1.67,NR,NR
Akron,Mid-American,1,drawn,Delay of Game,1,0,0.0,NR,NR
Akron,Mid-American,1,drawn,Face Mask,1,9,9.0,NR,NR
Akron,Mid-American,1,drawn,False Start,4,0,0.0,NR,NR
Akron,Mid-American,1,drawn,Other / Unclassified,1,5,5.0,NR,NR
Akron,Mid-American,1,drawn,Roughing,1,0,0.0,NR,NR
Akron,Mid-American,2,committed,Face Mask,1,27,27.0,NR,NR
Akron,Mid-American,2,committed,False Start,1,5,5.0,NR,NR
Akron,Mid-American,2,committed,Holding,1,10,10.0,NR,NR
Akron,Mid-American,2,committed,Pass Interference,2,26,13.0,NR,NR
Akron,Mid-American,2,drawn,Holding,1,10,10.0,NR,NR
Akron,Mid-American,2,drawn,Other / Unclassified,1,0,0.0,NR,NR
Akron,Mid-American,3,committed,Face Mask,1,15,15.0,NR,NR
Akron,Mid-American,3,committed,Offside,3,9,3.0,NR,NR
Akron,Mid-American,3,committed,Personal Foul,2,15,7.5,NR,NR
Akron,Mid-American,3,drawn,Delay of Game,1,5,5.0,NR,NR
Akron,Mid-American,3,drawn,False Start,1,5,5.0,NR,NR
Akron,Mid-American,3,drawn,Holding,2,0,0.0,NR,NR
Akron,Mid-American,3,drawn,Offside,1,0,0.0,NR,NR
Akron,Mid-American,3,drawn,Other / Unclassified,1,0,0.0,NR,NR
Akron,Mid-American,3,drawn,Personal Foul,1,0,0.0,NR,NR
Akron,Mid-American,4,committed,Other / Unclassified,2,5,2.5,NR,NR
Akron,Mid-American,4,committed,Personal Foul,1,0,0.0,NR,NR
Akron,Mid-American,4,drawn,False Start,1,0,0.0,NR,NR
Akron,Mid-American,4,drawn,Holding,1,0,0.0,NR,NR
Akron,Mid-American,4,drawn,Pass Interference,2,0,0.0,NR,NR
Akron,Mid-American,4,drawn,Personal Foul,1,0,0.0,NR,NR
Akron,Mid-American,5,committed,Delay of Game,1,5,5.0,NR,NR
Akron,Mid-American,5,committed,Face Mask,1,15,15.0,NR,NR
Akron,Mid-American,5,committed,Holding,1,0,0.0,NR,NR
Akron,Mid-American,5,drawn,False Start,1,4,4.0,NR,NR
Akron,Mid-American,5,drawn,Offside,1,2,2.0,NR,NR
Akron,Mid-American,5,drawn,Unsportsmanlike Conduct,1,0,0.0,NR,NR
Akron,Mid-American,6,committed,Delay of Game,1,0,0.0,NR,NR
Akron,Mid-American,6,committed,False Start,2,0,0.0,NR,NR
Akron,Mid-American,6,committed,Personal Foul,2,50,25.0,NR,NR
Akron,Mid-American,6,committed,Unsportsmanlike Conduct,1,0,0.0,NR,NR
Akron,Mid-American,6,drawn,Delay of Game,1,0,0.0,NR,NR
Akron,Mid-American,6,drawn,Face Mask,1,15,15.0,NR,NR
Akron,Mid-American,6,drawn,False Start,4,0,0.0,NR,NR
Akron,Mid-American,6,drawn,Holding,1,0,0.0,NR,NR
Akron,Mid-American,6,drawn,Other / Unclassified,3,10,3.33,NR,NR
Akron,Mid-American,6,drawn,Roughing,1,0,0.0,NR,NR
Akron,Mid-American,7,committed,False Start,7,35,5.0,NR,NR
Akron,Mid-American,7,drawn,Delay of Game,1,5,5.0,NR,NR
Akron,Mid-American,7,drawn,Holding,1,13,13.0,NR,NR
Akron,Mid-American,7,drawn,Offside,1,5,5.0,NR,NR
Akron,Mid-American,7,drawn,Other / Unclassified,1,0,0.0,NR,NR
Akron,Mid-American,7,drawn,Pass Interference,1,0,0.0,NR,NR
Akron,Mid-American,7,drawn,Personal Foul,1,0,0.0,NR,NR
Akron,Mid-American,8,committed,Holding,1,4,4.0,NR,NR
Akron,Mid-American,8,committed,Illegal Formation,1,49,49.0,NR,NR
Akron,Mid-American,8,committed,Other / Unclassified,1,0,0.0,NR,NR
Akron,Mid-American,8,committed,Pass Interference,1,15,15.0,NR,NR
Akron,Mid-American,8,committed,Personal Foul,1,0,0.0,NR,NR
Akron,Mid-American,8,drawn,Delay of Game,1,5,5.0,NR,NR
Akron,Mid-American,8,drawn,False Start,3,15,5.0,NR,NR
Akron,Mid-American,8,drawn,Offside,3,14,4.67,NR,NR
Akron,Mid-American,8,drawn,Other / Unclassified,1,0,0.0,NR,NR
Akron,Mid-American,8,drawn,Pass Interference,2,30,15.0,NR,NR
Akron,Mid-American,8,drawn,Personal Foul,1,0,0.0,NR,NR
Akron,Mid-American,9,committed,Delay of Game,1,5,5.0,NR,NR
Akron,Mid-American,9,committed,Face Mask,1,7,7.0,NR,NR
Akron,Mid-American,9,committed,False Start,1,5,5.0,NR,NR
Akron,Mid-American,9,committed,Holding,2,70,35.0,NR,NR
Akron,Mid-American,9,committed,Other / Unclassified,1,0,0.0,NR,NR
Akron,Mid-American,9,committed,Pass Interference,3,55,18.33,NR,NR
Akron,Mid-American,9,committed,Personal Foul,1,25,25.0,NR,NR
Akron,Mid-American,9,drawn,False Start,1,5,5.0,NR,NR
Akron,Mid-American,9,drawn,Pass Interference,2,15,7.5,NR,NR
Akron,Mid-American,11,committed,Face Mask,1,4,4.0,NR,NR
Akron,Mid-American,11,committed,False Start,1,60,60.0,NR,NR
Akron,Mid-American,11,committed,Other / Unclassified,1,2,2.0,NR,NR
Akron,Mid-American,11,committed,Pass Interference,1,15,15.0,NR,NR
Akron,Mid-American,11,committed,Unsportsmanlike Conduct,1,15,15.0,NR,NR
Akron,Mid-American,11,drawn,False Start,3,12,4.0,NR,NR
Akron,Mid-American,11,drawn,Holding,4,99,24.75,NR,NR
Akron,Mid-American,11,drawn,Personal Foul,2,55,27.5,NR,NR
Akron,Mid-American,11,drawn,Roughing the Passer,1,18,18.0,NR,NR
Akron,Mid-American,12,committed,Delay of Game,1,5,5.0,NR,NR
Akron,Mid-American,12,committed,Face Mask,1,34,34.0,NR,NR
Akron,Mid-American,12,committed,Holding,1,12,12.0,NR,NR
Akron,Mid-American,12,committed,Offside,1,1,1.0,NR,NR
Akron,Mid-American,12,committed,Other / Unclassified,1,13,13.0,NR,NR
Akron,Mid-American,12,committed,Pass Interference,1,15,15.0,NR,NR
Akron,Mid-American,12,committed,Roughing the Passer,1,15,15.0,NR,NR
Akron,Mid-American,12,committed,Targeting,1,15,15.0,NR,NR
Akron,Mid-American,12,drawn,Delay of Game,1,5,5.0,NR,NR
Akron,Mid-American,12,drawn,False Start,1,5,5.0,NR,NR
Akron,Mid-American,12,drawn,Other / Unclassified,1,28,28.0,NR,NR
Alabama,SEC,1,committed,Delay of Game,1,5,5.0,10.0,10.0
Alabama,SEC,1,committed,False Start,2,10,5.0,10.0,10.0
Alabama,SEC,1,committed,Holding,2,20,10.0,10.0,10.0
Alabama,SEC,1,committed,Offside,1,0,0.0,10.0,10.0
Alabama,SEC,1,committed,Pass Interference,1,15,15.0,10.0,10.0
Alabama,SEC,1,drawn,False Start,1,5,5.0,10.0,10.0
Alabama,SEC,1,drawn,Holding,2,20,10.0,10.0,10.0
Alabama,SEC,1,drawn,Personal Foul,2,30,15.0,10.0,10.0
Alabama,SEC,2,committed,False Start,1,5,5.0,10.0,10.0
Alabama,SEC,2,committed,Holding,3,34,11.33,10.0,10.0
Alabama,SEC,2,committed,Pass Interference,1,42,42.0,10.0,10.0
Alabama,SEC,2,drawn,Other / Unclassified,1,3,3.0,10.0,10.0
Alabama,SEC,3,committed,False Start,2,0,0.0,10.0,10.0
Alabama,SEC,3,committed,Holding,1,6,6.0,10.0,10.0
Alabama,SEC,3,committed,Illegal Formation,1,28,28.0,10.0,10.0
Alabama,SEC,3,committed,Offside,1,5,5.0,10.0,10.0
Alabama,SEC,3,committed,Roughing,1,0,0.0,10.0,10.0
Alabama,SEC,3,committed,Unsportsmanlike Conduct,1,0,0.0,10.0,10.0
Alabama,SEC,3,drawn,Holding,1,0,0.0,10.0,10.0
Alabama,SEC,3,drawn,Other / Unclassified,2,1,0.5,10.0,10.0
Alabama,SEC,3,drawn,Pass Interference,1,7,7.0,10.0,10.0
Alabama,SEC,3,drawn,Personal Foul,2,3,1.5,10.0,10.0
Alabama,SEC,5,committed,False Start,2,0,0.0,10.0,10.0
Alabama,SEC,5,committed,Holding,1,4,4.0,10.0,10.0
Alabama,SEC,5,committed,Personal Foul,3,51,17.0,10.0,10.0
Alabama,SEC,5,drawn,Holding,2,1,0.5,10.0,10.0
Alabama,SEC,5,drawn,Other / Unclassified,1,8,8.0,10.0,10.0
Alabama,SEC,5,drawn,Personal Foul,1,0,0.0,10.0,10.0
Alabama,SEC,6,committed,Holding,2,10,5.0,10.0,10.0
Alabama,SEC,6,committed,Offside,1,5,5.0,10.0,10.0
Alabama,SEC,6,committed,Personal Foul,2,29,14.5,10.0,10.0
Alabama,SEC,6,drawn,False Start,1,4,4.0,10.0,10.0
Alabama,SEC,6,drawn,Holding,1,30,30.0,10.0,10.0
Alabama,SEC,6,drawn,Personal Foul,1,15,15.0,10.0,10.0
Alabama,SEC,7,committed,Delay of Game,2,10,5.0,10.0,10.0
Alabama,SEC,7,committed,Illegal Motion,1,5,5.0,10.0,10.0
Alabama,SEC,7,committed,Offside,1,0,0.0,10.0,10.0
Alabama,SEC,7,committed,Other / Unclassified,1,5,5.0,10.0,10.0
Alabama,SEC,7,committed,Targeting,1,15,15.0,10.0,10.0
Alabama,SEC,7,committed,Unsportsmanlike Conduct,1,5,5.0,10.0,10.0
Alabama,SEC,7,drawn,Holding,2,3,1.5,10.0,10.0
Alabama,SEC,8,committed,False Start,2,5,2.5,10.0,10.0
Alabama,SEC,8,committed,Offside,1,5,5.0,10.0,10.0
Alabama,SEC,8,committed,Other / Unclassified,1,0,0.0,10.0,10.0
Alabama,SEC,8,committed,Pass Interference,2,30,15.0,10.0,10.0
Alabama,SEC,8,drawn,False Start,3,0,0.0,10.0,10.0
Alabama,SEC,8,drawn,Holding,1,10,10.0,10.0,10.0
Alabama,SEC,8,drawn,Other / Unclassified,4,38,9.5,10.0,10.0
Alabama,SEC,8,drawn,Pass Interference,3,24,8.0,10.0,10.0
Alabama,SEC,9,committed,Holding,1,10,10.0,10.0,10.0
Alabama,SEC,9,committed,Offside,1,5,5.0,10.0,10.0
Alabama,SEC,9,committed,Other / Unclassified,1,5,5.0,10.0,10.0
Alabama,SEC,9,committed,Personal Foul,1,5,5.0,10.0,10.0
Alabama,SEC,9,drawn,False Start,1,5,5.0,10.0,10.0
Alabama,SEC,9,drawn,Holding,3,30,10.0,10.0,10.0
Alabama,SEC,9,drawn,Offside,2,10,5.0,10.0,10.0
Alabama,SEC,9,drawn,Other / Unclassified,1,12,12.0,10.0,10.0
Alabama,SEC,11,committed,Offside,1,5,5.0,10.0,10.0
Alabama,SEC,11,committed,Pass Interference,1,15,15.0,10.0,10.0
Alabama,SEC,11,committed,Personal Foul,1,17,17.0,10.0,10.0
Alabama,SEC,11,drawn,Delay of Game,1,5,5.0,10.0,10.0
Alabama,SEC,11,drawn,Face Mask,1,0,0.0,10.0,10.0
Alabama,SEC,11,drawn,False Start,5,24,4.8,10.0,10.0
Alabama,SEC,11,drawn,Holding,1,8,8.0,10.0,10.0
Alabama,SEC,11,drawn,Other / Unclassified,2,40,20.0,10.0,10.0
Alabama,SEC,12,committed,Holding,1,13,13.0,10.0,10.0
Alabama,SEC,12,committed,Pass Interference,1,10,10.0,10.0,10.0
Alabama,SEC,12,drawn,False Start,1,5,5.0,10.0,10.0
Alabama,SEC,12,drawn,Holding,1,8,8.0,10.0,10.0
Alabama,SEC,12,drawn,Illegal Formation,1,4,4.0,10.0,10.0
Alabama,SEC,12,drawn,Other / Unclassified,3,6,2.0,10.0,10.0
Alabama,SEC,12,drawn,Pass Interference,1,15,15.0,10.0,10.0
App State,Sun Belt,1,committed,Delay of Game,1,0,0.0,NR,NR
App State,Sun Belt,1,committed,Holding,3,0,0.0,NR,NR
App State,Sun Belt,1,committed,Pass Interference,1,0,0.0,NR,NR
App State,Sun Belt,1,drawn,False Start,3,0,0.0,NR,NR
App State,Sun Belt,1,drawn,Holding,3,0,0.0,NR,NR
App State,Sun Belt,1,drawn,Pass Interference,1,0,0.0,NR,NR
App State,Sun Belt,1,drawn,Personal Foul,3,0,0.0,NR,NR
App State,Sun Belt,1,drawn,Roughing,1,0,0.0,NR,NR
App State,Sun Belt,2,committed,False Start,2,10,5.0,NR,NR
App State,Sun Belt,2,committed,Holding,1,10,10.0,NR,NR
App State,Sun Belt,2,committed,Illegal Formation,2,13,6.5,NR,NR
App State,Sun Belt,2,committed,Pass Interference,1,0,0.0,NR,NR
App State,Sun Belt,2,drawn,Delay of Game,1,5,5.0,NR,NR
App State,Sun Belt,2,drawn,Holding,3,4,1.33,NR,NR
App State,Sun Belt,2,drawn,Other / Unclassified,6,15,2.5,NR,NR
App State,Sun Belt,2,drawn,Personal Foul,1,15,15.0,NR,NR
App State,Sun Belt,2,drawn,Roughing the Kicker,1,37,37.0,NR,NR
App State,Sun Belt,3,committed,False Start,2,10,5.0,NR,NR
App State,Sun Belt,3,committed,Holding,1,10,10.0,NR,NR
App State,Sun Belt,3,committed,Offside,2,37,18.5,NR,NR
App State,Sun Belt,3,committed,Pass Interference,1,7,7.0,NR,NR
App State,Sun Belt,3,committed,Roughing the Passer,1,0,0.0,NR,NR
App State,Sun Belt,3,committed,Unsportsmanlike Conduct,1,9,9.0,NR,NR
App State,Sun Belt,3,drawn,Delay of Game,1,0,0.0,NR,NR
App State,Sun Belt,3,drawn,False Start,3,15,5.0,NR,NR
App State,Sun Belt,3,drawn,Offside,3,0,0.0,NR,NR
App State,Sun Belt,3,drawn,Other / Unclassified,2,15,7.5,NR,NR
App State,Sun Belt,3,drawn,Pass Interference,1,0,0.0,NR,NR
App State,Sun Belt,3,drawn,Roughing the Passer,2,0,0.0,NR,NR
App State,Sun Belt,5,committed,Delay of Game,2,10,5.0,NR,NR
App State,Sun Belt,5,committed,Face Mask,1,15,15.0,NR,NR
App State,Sun Belt,5,committed,False Start,2,10,5.0,NR,NR
App State,Sun Belt,5,committed,Holding,2,0,0.0,NR,NR
App State,Sun Belt,5,committed,Offside,1,0,0.0,NR,NR
App State,Sun Belt,5,committed,Pass Interference,1,0,0.0,NR,NR
App State,Sun Belt,5,committed,Roughing the Passer,1,0,0.0,NR,NR
App State,Sun Belt,5,committed,Unsportsmanlike Conduct,1,15,15.0,NR,NR
App State,Sun Belt,5,drawn,False Start,1,5,5.0,NR,NR
App State,Sun Belt,5,drawn,Holding,2,50,25.0,NR,NR
App State,Sun Belt,5,drawn,Offside,2,9,4.5,NR,NR
App State,Sun Belt,5,drawn,Other / Unclassified,1,0,0.0,NR,NR
App State,Sun Belt,5,drawn,Pass Interference,1,15,15.0,NR,NR
App State,Sun Belt,6,committed,Delay of Game,1,5,5.0,NR,NR
App State,Sun Belt,6,committed,False Start,1,5,5.0,NR,NR
App State,Sun Belt,6,committed,Holding,1,10,10.0,NR,NR
App State,Sun Belt,6,committed,Pass Interference,1,2,2.0,NR,NR
App State,Sun Belt,6,drawn,False Start,1,5,5.0,NR,NR
App State,Sun Belt,6,drawn,Holding,1,1,1.0,NR,NR
App State,Sun Belt,6,drawn,Offside,3,0,0.0,NR,NR
App State,Sun Belt,6,drawn,Other / Unclassified,1,0,0.0,NR,NR
App State,Sun Belt,6,drawn,Pass Interference,2,19,9.5,NR,NR
App State,Sun Belt,6,drawn,Targeting,1,15,15.0,NR,NR
App State,Sun Belt,7,committed,Delay of Game,1,5,5.0,NR,NR
App State,Sun Belt,7,committed,Pass Interference,2,30,15.0,NR,NR
App State,Sun Belt,7,drawn,Holding,2,0,0.0,NR,NR
App State,Sun Belt,7,drawn,Roughing the Passer,1,60,60.0,NR,NR
App State,Sun Belt,8,committed,Face Mask,2,30,15.0,NR,NR
App State,Sun Belt,8,committed,False Start,1,5,5.0,NR,NR
App State,Sun Belt,8,committed,Other / Unclassified,1,5,5.0,NR,NR
App State,Sun Belt,8,committed,Pass Interference,1,7,7.0,NR,NR
App State,Sun Belt,8,drawn,Delay of Game,1,5,5.0,NR,NR
App State,Sun Belt,8,drawn,Offside,2,5,2.5,NR,NR
App State,Sun Belt,8,drawn,Other / Unclassified,1,65,65.0,NR,NR
App State,Sun Belt,8,drawn,Pass Interference,1,15,15.0,NR,NR
App State,Sun Belt,9,committed,Face Mask,1,11,11.0,NR,NR
App State,Sun Belt,9,committed,False Start,1,5,5.0,NR,NR
App State,Sun Belt,9,committed,Pass Interference,3,30,10.0,NR,NR
App State,Sun Belt,9,committed,Roughing the Passer,2,30,15.0,NR,NR
App State,Sun Belt,9,drawn,Face Mask,1,15,15.0,NR,NR
App State,Sun Belt,9,drawn,False Start,1,5,5.0,NR,NR
App State,Sun Belt,9,drawn,Holding,3,47,15.67,NR,NR
App State,Sun Belt,9,drawn,Offside,1,4,4.0,NR,NR
App State,Sun Belt,9,drawn,Pass Interference,1,15,15.0,NR,NR
App State,Sun Belt,9,drawn,Targeting,1,15,15.0,NR,NR
App State,Sun Belt,11,committed,False Start,1,5,5.0,NR,NR
App State,Sun Belt,11,committed,Holding,1,1,1.0,NR,NR
App State,Sun Belt,11,committed,Unsportsmanlike Conduct,1,15,15.0,NR,NR
App State,Sun Belt,11,drawn,False Start,2,10,5.0,NR,NR
App State,Sun Belt,11,drawn,Holding,3,86,28.67,NR,NR
App State,Sun Belt,11,drawn,Other / Unclassified,4,62,15.5,NR,NR
App State,Sun Belt,12,committed,False Start,1,5,5.0,NR,NR
App State,Sun Belt,12,committed,Holding,1,0,0.0,NR,NR
App State,Sun Belt,12,committed,Other / Unclassified,2,52,26.0,NR,NR
App State,Sun Belt,12,committed,Personal Foul,3,81,27.0,NR,NR
App State,Sun Belt,12,committed,Roughing the Passer,1,2,2.0,NR,NR
App State,Sun Belt,12,drawn,Delay of Game,2,10,5.0,NR,NR
App State,Sun Belt,12,drawn,False Start,1,5,5.0,NR,NR
App State,Sun Belt,12,drawn,Offside,1,5,5.0,NR,NR
App State,Sun Belt,12,drawn,Other / Unclassified,1,6,6.0,NR,NR
App State,Sun Belt,12,drawn,Personal Foul,2,76,38.0,NR,NR
Arizona,Big 12,1,committed,Face Mask,2,30,15.0,NR,NR
Arizona,Big 12,1,committed,False Start,1,5,5.0,NR,NR
Arizona,Big 12,1,committed,Holding,4,16,4.0,NR,NR
Arizona,Big 12,1,committed,Offside,2,6,3.0,NR,NR
Arizona,Big 12,1,committed,Other / Unclassified,2,5,2.5,NR,NR
Arizona,Big 12,1,drawn,Delay of Game,1,5,5.0,NR,NR
Arizona,Big 12,1,drawn,False Start,1,5,5.0,NR,NR
Arizona,Big 12,1,drawn,Holding,1,10,10.0,NR,NR
Arizona,Big 12,1,drawn,Other / Unclassified,1,0,0.0,NR,NR
Arizona,Big 12,1,drawn,Pass Interference,2,13,6.5,NR,NR
Arizona,Big 12,2,committed,Face Mask,1,13,13.0,NR,NR
Arizona,Big 12,2,committed,False Start,1,5,5.0,NR,NR
Arizona,Big 12,2,committed,Holding,10,23,2.3,NR,NR
Arizona,Big 12,2,committed,Other / Unclassified,2,0,0.0,NR,NR
Arizona,Big 12,2,committed,Pass Interference,1,5,5.0,NR,NR
Arizona,Big 12,2,drawn,False Start,1,5,5.0,NR,NR
Arizona,Big 12,2,drawn,Holding,1,3,3.0,NR,NR
Arizona,Big 12,2,drawn,Offside,1,5,5.0,NR,NR
Arizona,Big 12,2,drawn,Other / Unclassified,2,1,0.5,NR,NR
Arizona,Big 12,3,committed,False Start,2,10,5.0,NR,NR
Arizona,Big 12,3,committed,Holding,5,31,6.2,NR,NR
Arizona,Big 12,3,committed,Personal Foul,1,0,0.0,NR,NR
Arizona,Big 12,3,committed,Targeting,1,0,0.0,NR,NR
Arizona,Big 12,5,drawn,False Start,1,5,5.0,NR,NR
Arizona,Big 12,5,drawn,Holding,1,0,0.0,NR,NR
Arizona,Big 12,5,drawn,Pass Interference,1,15,15.0,NR,NR
Arizona,Big 12,6,committed,False Start,1,5,5.0,NR,NR
Arizona,Big 12,6,committed,Holding,2,15,7.5,NR,NR
Arizona,Big 12,6,committed,Offside,2,5,2.5,NR,NR
Arizona,Big 12,6,committed,Roughing the Passer,1,15,15.0,NR,NR
Arizona,Big 12,6,drawn,Face Mask,1,2,2.0,NR,NR
Arizona,Big 12,6,drawn,Personal Foul,1,15,15.0,NR,NR
Arizona,Big 12,7,committed,Holding,1,4,4.0,NR,NR
Arizona,Big 12,7,committed,Offside,2,5,2.5,NR,NR
Arizona,Big 12,7,committed,Other / Unclassified,1,15,15.0,NR,NR
Arizona,Big 12,7,committed,Roughing the Passer,1,15,15.0,NR,NR
Arizona,Big 12,7,drawn,Holding,1,11,11.0,NR,NR
Arizona,Big 12,7,drawn,Pass Interference,2,3,1.5,NR,NR
Arizona,Big 12,8,committed,Holding,3,0,0.0,NR,NR
Arizona,Big 12,8,committed,Pass Interference,3,0,0.0,NR,NR
Arizona,Big 12,8,drawn,False Start,1,0,0.0,NR,NR
Arizona,Big 12,8,drawn,Other / Unclassified,1,0,0.0,NR,NR
Arizona,Big 12,8,drawn,Pass Interference,2,0,0.0,NR,NR
Arizona,Big 12,8,drawn,Unsportsmanlike Conduct,1,0,0.0,NR,NR
Arizona,Big 12,10,committed,False Start,1,5,5.0,NR,NR
Arizona,Big 12,10,committed,Holding,1,3,3.0,NR,NR
Arizona,Big 12,10,committed,Offside,1,5,5.0,NR,NR
Arizona,Big 12,10,committed,Other / Unclassified,1,41,41.0,NR,NR
Arizona,Big 12,10,committed,Roughing the Passer,1,15,15.0,NR,NR
Arizona,Big 12,10,committed,Targeting,1,15,15.0,NR,NR
Arizona,Big 12,10,drawn,Delay of Game,3,15,5.0,NR,NR
Arizona,Big 12,10,drawn,False Start,1,5,5.0,NR,NR
Arizona,Big 12,10,drawn,Holding,5,124,24.8,NR,NR
Arizona,Big 12,10,drawn,Illegal Formation,1,2,2.0,NR,NR
Arizona,Big 12,10,drawn,Offside,2,12,6.0,NR,NR
Arizona,Big 12,10,drawn,Other / Unclassified,3,80,26.67,NR,NR
Arizona,Big 12,10,drawn,Unsportsmanlike Conduct,1,10,10.0,NR,NR
Arizona,Big 12,11,committed,Holding,1,77,77.0,NR,NR
Arizona,Big 12,11,committed,Other / Unclassified,1,1,1.0,NR,NR
Arizona,Big 12,11,committed,Pass Interference,1,15,15.0,NR,NR
