team,penalty_type,penalty_category,total_penalties,total_yards,avg_yards_per_penalty,school,conference,school_for_merge,AP Top 25,Coaches Poll,FCS Coaches Poll
UAB,Roughing the Passer,Personal / Contact,1,1.0,1.0,UAB,American Athletic,,,,
UAB,Targeting,Personal / Contact,1,15.0,15.0,UAB,American Athletic,,,,
UAB,Unsportsmanlike Conduct,Personal / Contact,3,34.0,11.33,UAB,American Athletic,,,,
UCF,Delay of Game,Procedural,2,10.0,5.0,UCF,Big 12,,,,
UCF,Face Mask,Other,3,26.0,8.67,UCF,Big 12,,,,
UCF,False Start,Procedural,14,70.0,5.0,UCF,Big 12,,,,
UCF,Holding,Blocking / Holding,17,161.0,9.47,UCF,Big 12,,,,
UCF,Illegal Formation,Procedural,1,2.0,2.0,UCF,Big 12,,,,
UCF,Illegal Motion,Other,1,3.0,3.0,UCF,Big 12,,,,
UCF,Offside,Procedural,6,72.0,12.0,UCF,Big 12,,,,
UCF,Other / Unclassified,Administrative,1,0.0,0.0,UCF,Big 12,,,,
UCF,Other / Unclassified,Other,5,27.0,5.4,UCF,Big 12,,,,
UCF,Pass Interference,Personal / Contact,3,30.0,10.0,UCF,Big 12,,,,
UCF,Personal Foul,Personal / Contact,1,0.0,0.0,UCF,Big 12,,,,
UCF,Targeting,Personal / Contact,1,15.0,15.0,UCF,Big 12,,,,
UCF,Unsportsmanlike Conduct,Personal / Contact,2,37.0,18.5,UCF,Big 12,,,,
UCLA,Face Mask,Other,2,9.0,4.5,UCLA,Big Ten,,,,
UCLA,False Start,Procedural,9,19.0,2.11,UCLA,Big Ten,,,,
UCLA,Holding,Blocking / Holding,8,48.0,6.0,UCLA,Big Ten,,,,
UCLA,Illegal Formation,Procedural,2,14.0,7.0,UCLA,Big Ten,,,,
UCLA,Illegal Motion,Other,1,4.0,4.0,UCLA,Big Ten,,,,
UCLA,Offside,Procedural,6,84.0,14.0,UCLA,Big Ten,,,,
UCLA,Other / Unclassified,Administrative,3,43.0,14.33,UCLA,Big Ten,,,,
UCLA,Other / Unclassified,Blocking / Holding,1,65.0,65.0,UCLA,Big Ten,,,,
UCLA,Other / Unclassified,Procedural,1,10.0,10.0,UCLA,Big Ten,,,,
UCLA,Pass Interference,Personal / Contact,11,97.0,8.82,UCLA,Big Ten,,,,
UCLA,Personal Foul,Personal / Contact,3,28.0,9.33,UCLA,Big Ten,,,,
UCLA,Unsportsmanlike Conduct,Personal / Contact,3,49.0,16.33,UCLA,Big Ten,,,,
UConn,Delay of Game,Procedural,1,5.0,5.0,UConn,FBS Independents,,,,
UConn,False Start,Procedural,14,45.0,3.21,UConn,FBS Independents,,,,
UConn,Holding,Blocking / Holding,5,33.0,6.6,UConn,FBS Independents,,,,
UConn,Offside,Procedural,1,5.0,5.0,UConn,FBS Independents,,,,
UConn,Other / Unclassified,Administrative,2,5.0,2.5,UConn,FBS Independents,,,,
UConn,Other / Unclassified,Blocking / Holding,2,45.0,22.5,UConn,FBS Independents,,,,
UConn,Other / Unclassified,Other,9,86.0,9.56,UConn,FBS Independents,,,,
UConn,Other / Unclassified,Safety / Tackling,1,0.0,0.0,UConn,FBS Independents,,,,
UConn,Pass Interference,Personal / Contact,5,34.0,6.8,UConn,FBS Independents,,,,
UConn,Personal Foul,Personal / Contact,3,17.0,5.67,UConn,FBS Independents,,,,
UConn,Unsportsmanlike Conduct,Personal / Contact,3,75.0,25.0,UConn,FBS Independents,,,,
UL Monroe,Delay of Game,Procedural,6,30.0,5.0,UL Monroe,Sun Belt,,,,
UL Monroe,Face Mask,Other,4,36.0,9.0,UL Monroe,Sun Belt,,,,
UL Monroe,False Start,Procedural,9,37.0,4.11,UL Monroe,Sun Belt,,,,
UL Monroe,Holding,Blocking / Holding,23,209.0,9.09,UL Monroe,Sun Belt,,,,
UL Monroe,Illegal Formation,Procedural,4,86.0,21.5,UL Monroe,Sun Belt,,,,
UL Monroe,Offside,Procedural,5,29.0,5.8,UL Monroe,Sun Belt,,,,
UL Monroe,Other / Unclassified,Administrative,3,10.0,3.33,UL Monroe,Sun Belt,,,,
UL Monroe,Other / Unclassified,Blocking / Holding,1,58.0,58.0,UL Monroe,Sun Belt,,,,
UL Monroe,Other / Unclassified,Other,10,125.0,12.5,UL Monroe,Sun Belt,,,,
UL Monroe,Other / Unclassified,Procedural,2,52.0,26.0,UL Monroe,Sun Belt,,,,
UL Monroe,Other / Unclassified,Safety / Tackling,1,0.0,0.0,UL Monroe,Sun Belt,,,,
UL Monroe,Pass Interference,Personal / Contact,13,111.0,8.54,UL Monroe,Sun Belt,,,,
UL Monroe,Pass Interference,Procedural,1,15.0,15.0,UL Monroe,Sun Belt,,,,
UL Monroe,Personal Foul,Personal / Contact,3,24.0,8.0,UL Monroe,Sun Belt,,,,
UL Monroe,Roughing the Passer,Personal / Contact,1,15.0,15.0,UL Monroe,Sun Belt,,,,
UL Monroe,Targeting,Personal / Contact,1,34.0,34.0,UL Monroe,Sun Belt,,,,
UL Monroe,Unsportsmanlike Conduct,Personal / Contact,7,86.0,12.29,UL Monroe,Sun Belt,,,,
UNLV,Delay of Game,Procedural,2,5.0,2.5,UNLV,Mountain West,,,,
UNLV,Face Mask,Other,1,16.0,16.0,UNLV,Mountain West,,,,
UNLV,False Start,Procedural,11,45.0,4.09,UNLV,Mountain West,,,,
UNLV,Holding,Blocking / Holding,17,151.0,8.88,UNLV,Mountain West,,,,
UNLV,Holding,Procedural,2,16.0,8.0,UNLV,Mountain West,,,,
UNLV,Illegal Formation,Procedural,1,7.0,7.0,UNLV,Mountain West,,,,
UNLV,Other / Unclassified,Administrative,3,16.0,5.33,UNLV,Mountain West,,,,
UNLV,Other / Unclassified,Blocking / Holding,1,4.0,4.0,UNLV,Mountain West,,,,
UNLV,Other / Unclassified,Other,5,16.0,3.2,UNLV,Mountain West,,,,
UNLV,Other / Unclassified,Procedural,1,1.0,1.0,UNLV,Mountain West,,,,
UNLV,Pass Interference,Personal / Contact,9,53.0,5.89,UNLV,Mountain West,,,,
UNLV,Personal Foul,Personal / Contact,2,15.0,7.5,UNLV,Mountain West,,,,
UNLV,Unsportsmanlike Conduct,Personal / Contact,3,43.0,14.33,UNLV,Mountain West,,,,
USC,False Start,Procedural,7,35.0,5.0,USC,Big Ten,USC,16.0,16.0,
USC,Holding,Blocking / Holding,7,25.0,3.57,USC,Big Ten,USC,16.0,16.0,
USC,Illegal Formation,Procedural,1,40.0,40.0,USC,Big Ten,USC,16.0,16.0,
USC,Offside,Procedural,5,44.0,8.8,USC,Big Ten,USC,16.0,16.0,
USC,Other / Unclassified,Administrative,2,23.0,11.5,USC,Big Ten,USC,16.0,16.0,
USC,Other / Unclassified,Other,2,52.0,26.0,USC,Big Ten,USC,16.0,16.0,
USC,Other / Unclassified,Procedural,2,0.0,0.0,USC,Big Ten,USC,16.0,16.0,
USC,Pass Interference,Personal / Contact,7,96.0,13.71,USC,Big Ten,USC,16.0,16.0,
USC,Pass Interference,Procedural,1,15.0,15.0,USC,Big Ten,USC,16.0,16.0,
USC,Personal Foul,Personal / Contact,4,59.0,14.75,USC,Big Ten,USC,16.0,16.0,
USC,Roughing the Passer,Personal / Contact,1,0.0,0.0,USC,Big Ten,USC,16.0,16.0,
USC,Unsportsmanlike Conduct,Personal / Contact,1,15.0,15.0,USC,Big Ten,USC,16.0,16.0,
UTEP,Delay of Game,Procedural,2,10.0,5.0,UTEP,Conference USA,,,,
UTEP,Face Mask,Other,2,21.0,10.5,UTEP,Conference USA,,,,
UTEP,False Start,Procedural,3,10.0,3.33,UTEP,Conference USA,,,,
UTEP,Holding,Blocking / Holding,15,183.0,12.2,UTEP,Conference USA,,,,
UTEP,Illegal Formation,Procedural,1,5.0,5.0,UTEP,Conference USA,,,,
UTEP,Offside,Procedural,3,10.0,3.33,UTEP,Conference USA,,,,
UTEP,Other / Unclassified,Administrative,4,7.0,1.75,UTEP,Conference USA,,,,
UTEP,Other / Unclassified,Other,5,18.0,3.6,UTEP,Conference USA,,,,
UTEP,Pass Interference,Blocking / Holding,2,28.0,14.0,UTEP,Conference USA,,,,
UTEP,Pass Interference,Personal / Contact,3,44.0,14.67,UTEP,Conference USA,,,,
UTEP,Personal Foul,Personal / Contact,2,0.0,0.0,UTEP,Conference USA,,,,
UTEP,Roughing,Personal / Contact,1,0.0,0.0,UTEP,Conference USA,,,,
UTEP,Roughing the Passer,Blocking / Holding,1,6.0,6.0,UTEP,Conference USA,,,,
UTEP,Unsportsmanlike Conduct,Personal / Contact,4,45.0,11.25,UTEP,Conference USA,,,,
UTSA,Delay of Game,Procedural,2,10.0,5.0,UTSA,American Athletic,,,,
UTSA,Face Mask,Other,2,22.0,11.0,UTSA,American Athletic,,,,
UTSA,False Start,Procedural,14,70.0,5.0,UTSA,American Athletic,,,,
UTSA,Holding,Blocking / Holding,11,70.0,6.36,UTSA,American Athletic,,,,
UTSA,Illegal Formation,Procedural,3,17.0,5.67,UTSA,American Athletic,,,,
UTSA,Offside,Procedural,3,13.0,4.33,UTSA,American Athletic,,,,
UTSA,Other / Unclassified,Administrative,2,12.0,6.0,UTSA,American Athletic,,,,
UTSA,Other / Unclassified,Other,5,50.0,10.0,UTSA,American Athletic,,,,
UTSA,Pass Interference,Personal / Contact,11,123.0,11.18,UTSA,American Athletic,,,,
UTSA,Personal Foul,Personal / Contact,1,15.0,15.0,UTSA,American Athletic,,,,
UTSA,Roughing the Passer,Personal / Contact,1,15.0,15.0,UTSA,American Athletic,,,,
UTSA,Unsportsmanlike Conduct,Personal / Contact,1,3.0,3.0,UTSA,American Athletic,,,,
Utah,Delay of Game,Procedural,6,30.0,5.0,Utah,Big 12,Utah,13.0,14.0,
Utah,False Start,Procedural,19,40.0,2.11,Utah,Big 12,Utah,13.0,14.0,
Utah,Holding,Blocking / Holding,14,58.0,4.14,Utah,Big 12,Utah,13.0,14.0,
Utah,Illegal Motion,Other,1,1.0,1.0,Utah,Big 12,Utah,13.0,14.0,
Utah,Offside,Procedural,3,7.0,2.33,Utah,Big 12,Utah,13.0,14.0,
Utah,Other / Unclassified,Administrative,1,5.0,5.0,Utah,Big 12,Utah,13.0,14.0,
Utah,Other / Unclassified,Other,2,0.0,0.0,Utah,Big 12,Utah,13.0,14.0,
Utah,Other / Unclassified,Procedural,1,13.0,13.0,Utah,Big 12,Utah,13.0,14.0,
Utah,Other / Unclassified,Safety / Tackling,1,8.0,8.0,Utah,Big 12,Utah,13.0,14.0,
Utah,Pass Interference,Personal / Contact,9,97.0,10.78,Utah,Big 12,Utah,13.0,14.0,
Utah,Personal Foul,Personal / Contact,3,1.0,0.33,Utah,Big 12,Utah,13.0,14.0,
Utah State,Delay of Game,Procedural,3,0.0,0.0,Utah State,Mountain West,,,,
Utah State,Face Mask,Other,3,30.0,10.0,Utah State,Mountain West,,,,
Utah State,False Start,Procedural,6,65.0,10.83,Utah State,Mountain West,,,,
Utah State,Holding,Blocking / Holding,11,126.0,11.45,Utah State,Mountain West,,,,
Utah State,Illegal Formation,Procedural,1,3.0,3.0,Utah State,Mountain West,,,,
Utah State,Offside,Procedural,7,83.0,11.86,Utah State,Mountain West,,,,
Utah State,Other / Unclassified,Administrative,2,8.0,4.0,Utah State,Mountain West,,,,
Utah State,Other / Unclassified,Blocking / Holding,1,0.0,0.0,Utah State,Mountain West,,,,
Utah State,Other / Unclassified,Other,6,16.0,2.67,Utah State,Mountain West,,,,
Utah State,Pass Interference,Personal / Contact,8,49.0,6.12,Utah State,Mountain West,,,,
Utah State,Personal Foul,Personal / Contact,8,40.0,5.0,Utah State,Mountain West,,,,
Utah State,Roughing,Personal / Contact,2,15.0,7.5,Utah State,Mountain West,,,,
Utah State,Unsportsmanlike Conduct,Personal / Contact,3,13.0,4.33,Utah State,Mountain West,,,,
Vanderbilt,Delay of Game,Procedural,3,15.0,5.0,Vanderbilt,SEC,Vanderbilt,12.0,13.0,
Vanderbilt,Face Mask,Other,2,7.0,3.5,Vanderbilt,SEC,Vanderbilt,12.0,13.0,
Vanderbilt,False Start,Procedural,15,70.0,4.67,Vanderbilt,SEC,Vanderbilt,12.0,13.0,
Vanderbilt,Holding,Blocking / Holding,14,100.0,7.14,Vanderbilt,SEC,Vanderbilt,12.0,13.0,
Vanderbilt,Illegal Formation,Procedural,2,3.0,1.5,Vanderbilt,SEC,Vanderbilt,12.0,13.0,
Vanderbilt,Offside,Procedural,3,17.0,5.67,Vanderbilt,SEC,Vanderbilt,12.0,13.0,
Vanderbilt,Other / Unclassified,Administrative,3,13.0,4.33,Vanderbilt,SEC,Vanderbilt,12.0,13.0,
Vanderbilt,Other / Unclassified,Other,12,56.0,4.67,Vanderbilt,SEC,Vanderbilt,12.0,13.0,
Vanderbilt,Pass Interference,Personal / Contact,10,114.0,11.4,Vanderbilt,SEC,Vanderbilt,12.0,13.0,
Vanderbilt,Personal Foul,Personal / Contact,3,44.0,14.67,Vanderbilt,SEC,Vanderbilt,12.0,13.0,
Vanderbilt,Roughing the Kicker,Personal / Contact,1,36.0,36.0,Vanderbilt,SEC,Vanderbilt,12.0,13.0,
Vanderbilt,Unsportsmanlike Conduct,Personal / Contact,1,0.0,0.0,Vanderbilt,SEC,Vanderbilt,12.0,13.0,
Virginia,Delay of Game,Procedural,1,5.0,5.0,Virginia,ACC,Virginia,19.0,19.0,
Virginia,Face Mask,Other,3,26.0,8.67,Virginia,ACC,Virginia,19.0,19.0,
Virginia,False Start,Procedural,12,56.0,4.67,Virginia,ACC,Virginia,19.0,19.0,
Virginia,Holding,Blocking / Holding,11,222.0,20.18,Virginia,ACC,Virginia,19.0,19.0,
Virginia,Illegal Motion,Other,1,3.0,3.0,Virginia,ACC,Virginia,19.0,19.0,
Virginia,Offside,Procedural,3,43.0,14.33,Virginia,ACC,Virginia,19.0,19.0,
Virginia,Other / Unclassified,Administrative,3,52.0,17.33,Virginia,ACC,Virginia,19.0,19.0,
Virginia,Other / Unclassified,Blocking / Holding,4,94.0,23.5,Virginia,ACC,Virginia,19.0,19.0,
Virginia,Other / Unclassified,Other,3,16.0,5.33,Virginia,ACC,Virginia,19.0,19.0,
Virginia,Other / Unclassified,Procedural,1,1.0,1.0,Virginia,ACC,Virginia,19.0,19.0,
Virginia,Pass Interference,Personal / Contact,4,46.0,11.5,Virginia,ACC,Virginia,19.0,19.0,
Virginia,Personal Foul,Personal / Contact,1,49.0,49.0,Virginia,ACC,Virginia,19.0,19.0,
Virginia,Roughing the Passer,Personal / Contact,2,22.0,11.0,Virginia,ACC,Virginia,19.0,19.0,
Virginia,Unsportsmanlike Conduct,Personal / Contact,3,74.0,24.67,Virginia,ACC,Virginia,19.0,19.0,
Virginia Tech,Delay of Game,Procedural,3,15.0,5.0,Virginia Tech,ACC,,,,
Virginia Tech,Face Mask,Other,5,51.0,10.2,Virginia Tech,ACC,,,,
Virginia Tech,False Start,Procedural,16,79.0,4.94,Virginia Tech,ACC,,,,
Virginia Tech,Holding,Blocking / Holding,16,120.0,7.5,Virginia Tech,ACC,,,,
Virginia Tech,Illegal Formation,Procedural,1,33.0,33.0,Virginia Tech,ACC,,,,
Virginia Tech,Offside,Procedural,4,3.0,0.75,Virginia Tech,ACC,,,,
Virginia Tech,Other / Unclassified,Administrative,6,28.0,4.67,Virginia Tech,ACC,,,,
Virginia Tech,Other / Unclassified,Blocking / Holding,3,54.0,18.0,Virginia Tech,ACC,,,,
Virginia Tech,Other / Unclassified,Other,11,59.0,5.36,Virginia Tech,ACC,,,,
Virginia Tech,Pass Interference,Personal / Contact,6,38.0,6.33,Virginia Tech,ACC,,,,
Virginia Tech,Personal Foul,Personal / Contact,4,30.0,7.5,Virginia Tech,ACC,,,,
Virginia Tech,Roughing the Passer,Personal / Contact,5,38.0,7.6,Virginia Tech,ACC,,,,
Virginia Tech,Targeting,Personal / Contact,3,50.0,16.67,Virginia Tech,ACC,,,,
Virginia Tech,Unsportsmanlike Conduct,Personal / Contact,2,65.0,32.5,Virginia Tech,ACC,,,,
Wake Forest,Delay of Game,Procedural,2,8.0,4.0,Wake Forest,ACC,,,,
Wake Forest,Face Mask,Blocking / Holding,2,46.0,23.0,Wake Forest,ACC,,,,
Wake Forest,Face Mask,Other,3,17.0,5.67,Wake Forest,ACC,,,,
Wake Forest,False Start,Procedural,20,95.0,4.75,Wake Forest,ACC,,,,
Wake Forest,Holding,Blocking / Holding,10,102.0,10.2,Wake Forest,ACC,,,,
Wake Forest,Illegal Formation,Procedural,3,19.0,6.33,Wake Forest,ACC,,,,
Wake Forest,Offside,Procedural,3,10.0,3.33,Wake Forest,ACC,,,,
Wake Forest,Other / Unclassified,Administrative,4,5.0,1.25,Wake Forest,ACC,,,,
Wake Forest,Other / Unclassified,Other,12,120.0,10.0,Wake Forest,ACC,,,,
Wake Forest,Other / Unclassified,Procedural,1,1.0,1.0,Wake Forest,ACC,,,,
Wake Forest,Other / Unclassified,Safety / Tackling,1,0.0,0.0,Wake Forest,ACC,,,,
Wake Forest,Pass Interference,Personal / Contact,12,166.0,13.83,Wake Forest,ACC,,,,
Wake Forest,Personal Foul,Personal / Contact,6,39.0,6.5,Wake Forest,ACC,,,,
Wake Forest,Roughing,Personal / Contact,1,15.0,15.0,Wake Forest,ACC,,,,
Wake Forest,Roughing the Passer,Personal / Contact,1,8.0,8.0,Wake Forest,ACC,,,,
Wake Forest,Unsportsmanlike Conduct,Personal / Contact,2,22.0,11.0,Wake Forest,ACC,,,,
Washington,Delay of Game,Procedural,2,10.0,5.0,Washington,Big Ten,,,,
Washington,False Start,Procedural,13,61.0,4.69,Washington,Big Ten,,,,
Washington,Holding,Blocking / Holding,9,74.0,8.22,Washington,Big Ten,,,,
Washington,Illegal Formation,Procedural,2,7.0,3.5,Washington,Big Ten,,,,
Washington,Offside,Procedural,5,18.0,3.6,Washington,Big Ten,,,,
Washington,Other / Unclassified,Administrative,6,43.0,7.17,Washington,Big Ten,,,,
Washington,Other / Unclassified,Blocking / Holding,1,40.0,40.0,Washington,Big Ten,,,,
Washington,Other / Unclassified,Other,2,5.0,2.5,Washington,Big Ten,,,,
Washington,Pass Interference,Personal / Contact,5,59.0,11.8,Washington,Big Ten,,,,
Washington,Personal Foul,Personal / Contact,4,15.0,3.75,Washington,Big Ten,,,,
Washington,Roughing the Passer,Personal / Contact,1,19.0,19.0,Washington,Big Ten,,,,
Washington,Unsportsmanlike Conduct,Personal / Contact,7,61.0,8.71,Washington,Big Ten,,,,
Washington State,Delay of Game,Procedural,3,12.0,4.0,Washington State,Pac-12,,,,
Washington State,Face Mask,Other,3,16.0,5.33,Washington State,Pac-12,,,,
Washington State,False Start,Procedural,7,35.0,5.0,Washington State,Pac-12,,,,
Washington State,Holding,Blocking / Holding,15,150.0,10.0,Washington State,Pac-12,,,,
Washington State,Illegal Formation,Procedural,1,0.0,0.0,Washington State,Pac-12,,,,
Washington State,Offside,Procedural,9,76.0,8.44,Washington State,Pac-12,,,,
Washington State,Other / Unclassified,Administrative,2,7.0,3.5,Washington State,Pac-12,,,,
Washington State,Other / Unclassified,Blocking / Holding,1,2.0,2.0,Washington State,Pac-12,,,,
Washington State,Other / Unclassified,Other,4,35.0,8.75,Washington State,Pac-12,,,,
Washington State,Pass Interference,Personal / Contact,8,105.0,13.12,Washington State,Pac-12,,,,
Washington State,Pass Interference,Procedural,1,15.0,15.0,Washington State,Pac-12,,,,
Washington State,Personal Foul,Personal / Contact,1,0.0,0.0,Washington State,Pac-12,,,,
Washington State,Unsportsmanlike Conduct,Personal / Contact,5,39.0,7.8,Washington State,Pac-12,,,,
West Virginia,Delay of Game,Procedural,6,30.0,5.0,West Virginia,Big 12,,,,
West Virginia,Face Mask,Other,5,58.0,11.6,West Virginia,Big 12,,,,
West Virginia,False Start,Procedural,20,98.0,4.9,West Virginia,Big 12,,,,
West Virginia,Holding,Blocking / Holding,24,304.0,12.67,West Virginia,Big 12,,,,
West Virginia,Illegal Formation,Procedural,1,28.0,28.0,West Virginia,Big 12,,,,
West Virginia,Offside,Procedural,9,41.0,4.56,West Virginia,Big 12,,,,
West Virginia,Other / Unclassified,Administrative,1,8.0,8.0,West Virginia,Big 12,,,,
West Virginia,Other / Unclassified,Blocking / Holding,1,0.0,0.0,West Virginia,Big 12,,,,
West Virginia,Other / Unclassified,Other,12,36.0,3.0,West Virginia,Big 12,,,,
West Virginia,Other / Unclassified,Procedural,1,0.0,0.0,West Virginia,Big 12,,,,
West Virginia,Pass Interference,Personal / Contact,12,152.0,12.67,West Virginia,Big 12,,,,
West Virginia,Pass Interference,Procedural,1,0.0,0.0,West Virginia,Big 12,,,,
West Virginia,Personal Foul,Personal / Contact,1,0.0,0.0,West Virginia,Big 12,,,,
West Virginia,Roughing the Passer,Personal / Contact,3,56.0,18.67,West Virginia,Big 12,,,,
West Virginia,Targeting,Personal / Contact,1,0.0,0.0,West Virginia,Big 12,,,,
West Virginia,Unsportsmanlike Conduct,Personal / Contact,2,30.0,15.0,West Virginia,Big 12,,,,
Western Kentucky,Delay of Game,Procedural,4,20.0,5.0,Western Kentucky,Conference USA,,,,
Western Kentucky,Face Mask,Other,4,56.0,14.0,Western Kentucky,Conference USA,,,,
Western Kentucky,False Start,Procedural,18,90.0,5.0,Western Kentucky,Conference USA,,,,
Western Kentucky,Holding,Blocking / Holding,27,175.0,6.48,Western Kentucky,Conference USA,,,,
Western Kentucky,Illegal Formation,Procedural,1,0.0,0.0,Western Kentucky,Conference USA,,,,
Western Kentucky,Offside,Procedural,7,31.0,4.43,Western Kentucky,Conference USA,,,,
Western Kentucky,Other / Unclassified,Administrative,3,15.0,5.0,Western Kentucky,Conference USA,,,,
Western Kentucky,Other / Unclassified,Other,1,5.0,5.0,Western Kentucky,Conference USA,,,,
Western Kentucky,Pass Interference,Personal / Contact,17,163.0,9.59,Western Kentucky,Conference USA,,,,
Western Kentucky,Personal Foul,Personal / Contact,6,42.0,7.0,Western Kentucky,Conference USA,,,,
Western Kentucky,Roughing the Passer,Personal / Contact,5,30.0,6.0,Western Kentucky,Conference USA,,,,
Western Kentucky,Unsportsmanlike Conduct,Personal / Contact,4,15.0,3.75,Western Kentucky,Conference USA,,,,
Western Michigan,Delay of Game,Procedural,1,5.0,5.0,Western Michigan,Mid-American,,,,
Western Michigan,False Start,Procedural,11,35.0,3.18,Western Michigan,Mid-American,,,,
Western Michigan,Holding,Blocking / Holding,14,42.0,3.0,Western Michigan,Mid-American,,,,
Western Michigan,Illegal Formation,Procedural,4,35.0,8.75,Western Michigan,Mid-American,,,,
Western Michigan,Offside,Procedural,4,17.0,4.25,Western Michigan,Mid-American,,,,
Western Michigan,Other / Unclassified,Administrative,1,5.0,5.0,Western Michigan,Mid-American,,,,
Western Michigan,Other / Unclassified,Other,5,11.0,2.2,Western Michigan,Mid-American,,,,
Western Michigan,Other / Unclassified,Procedural,1,23.0,23.0,Western Michigan,Mid-American,,,,
Western Michigan,Other / Unclassified,Safety / Tackling,1,11.0,11.0,Western Michigan,Mid-American,,,,
Western Michigan,Pass Interference,Personal / Contact,8,109.0,13.62,Western Michigan,Mid-American,,,,
Western Michigan,Personal Foul,Personal / Contact,1,5.0,5.0,Western Michigan,Mid-American,,,,
Western Michigan,Unsportsmanlike Conduct,Personal / Contact,6,53.0,8.83,Western Michigan,Mid-American,,,,
Wisconsin,Delay of Game,Other,1,5.0,5.0,Wisconsin,Big Ten,,,,
Wisconsin,Delay of Game,Procedural,2,10.0,5.0,Wisconsin,Big Ten,,,,
Wisconsin,Face Mask,Other,1,10.0,10.0,Wisconsin,Big Ten,,,,
Wisconsin,False Start,Procedural,11,45.0,4.09,Wisconsin,Big Ten,,,,
Wisconsin,Holding,Blocking / Holding,8,98.0,12.25,Wisconsin,Big Ten,,,,
Wisconsin,Illegal Formation,Procedural,4,73.0,18.25,Wisconsin,Big Ten,,,,
Wisconsin,Offside,Procedural,7,47.0,6.71,Wisconsin,Big Ten,,,,
Wisconsin,Other / Unclassified,Administrative,1,5.0,5.0,Wisconsin,Big Ten,,,,
Wisconsin,Other / Unclassified,Other,5,37.0,7.4,Wisconsin,Big Ten,,,,
Wisconsin,Other / Unclassified,Procedural,2,6.0,3.0,Wisconsin,Big Ten,,,,
Wisconsin,Pass Interference,Personal / Contact,2,15.0,7.5,Wisconsin,Big Ten,,,,
Wisconsin,Personal Foul,Personal / Contact,2,15.0,7.5,Wisconsin,Big Ten,,,,
Wisconsin,Roughing,Personal / Contact,1,0.0,0.0,Wisconsin,Big Ten,,,,
Wisconsin,Unsportsmanlike Conduct,Personal / Contact,4,23.0,5.75,Wisconsin,Big Ten,,,,
Wyoming,Delay of Game,Procedural,5,16.0,3.2,Wyoming,Mountain West,,,,
Wyoming,Face Mask,Other,1,15.0,15.0,Wyoming,Mountain West,,,,
Wyoming,False Start,Procedural,13,59.0,4.54,Wyoming,Mountain West,,,,
Wyoming,Holding,Blocking / Holding,26,379.0,14.58,Wyoming,Mountain West,,,,
Wyoming,Illegal Formation,Procedural,1,54.0,54.0,Wyoming,Mountain West,,,,
Wyoming,Illegal Motion,Other,1,6.0,6.0,Wyoming,Mountain West,,,,
Wyoming,Offside,Procedural,2,9.0,4.5,Wyoming,Mountain West,,,,
Wyoming,Other / Unclassified,Administrative,2,12.0,6.0,Wyoming,Mountain West,,,,
Wyoming,Other / Unclassified,Blocking / Holding,1,0.0,0.0,Wyoming,Mountain West,,,,
Wyoming,Other / Unclassified,Other,7,20.0,2.86,Wyoming,Mountain West,,,,
Wyoming,Pass Interference,Personal / Contact,4,111.0,27.75,Wyoming,Mountain West,,,,
Wyoming,Personal Foul,Personal / Contact,4,24.0,6.0,Wyoming,Mountain West,,,,
Wyoming,Roughing,Personal / Contact,1,0.0,0.0,Wyoming,Mountain West,,,,
Wyoming,Roughing the Passer,Personal / Contact,1,15.0,15.0,Wyoming,Mountain West,,,,
