team,penalty_type,penalty_category,total_penalties,total_yards,avg_yards_per_penalty,school,conference,school_for_merge,AP Top 25,Coaches Poll,FCS Coaches Poll
Stanford,Offside,Procedural,3,11.0,3.67,Stanford,ACC,,,,
Stanford,Other / Unclassified,Administrative,1,11.0,11.0,Stanford,ACC,,,,
Stanford,Other / Unclassified,Blocking / Holding,2,13.0,6.5,Stanford,ACC,,,,
Stanford,Other / Unclassified,Other,7,27.0,3.86,Stanford,ACC,,,,
Stanford,Pass Interference,Personal / Contact,5,71.0,14.2,Stanford,ACC,,,,
Stanford,Personal Foul,Personal / Contact,5,69.0,13.8,Stanford,ACC,,,,
Stanford,Roughing the Passer,Personal / Contact,1,31.0,31.0,Stanford,ACC,,,,
Stanford,Unsportsmanlike Conduct,Personal / Contact,3,42.0,14.0,Stanford,ACC,,,,
Syracuse,Delay of Game,Procedural,1,5.0,5.0,Syracuse,ACC,,,,
Syracuse,Face Mask,Other,1,0.0,0.0,Syracuse,ACC,,,,
Syracuse,False Start,Procedural,14,70.0,5.0,Syracuse,ACC,,,,
Syracuse,Holding,Blocking / Holding,14,162.0,11.57,Syracuse,ACC,,,,
Syracuse,Offside,Procedural,2,10.0,5.0,Syracuse,ACC,,,,
Syracuse,Other / Unclassified,Administrative,3,19.0,6.33,Syracuse,ACC,,,,
Syracuse,Other / Unclassified,Blocking / Holding,1,15.0,15.0,Syracuse,ACC,,,,
Syracuse,Other / Unclassified,Other,4,20.0,5.0,Syracuse,ACC,,,,
Syracuse,Pass Interference,Personal / Contact,12,120.0,10.0,Syracuse,ACC,,,,
Syracuse,Personal Foul,Personal / Contact,8,59.0,7.38,Syracuse,ACC,,,,
Syracuse,Unsportsmanlike Conduct,Personal / Contact,2,15.0,7.5,Syracuse,ACC,,,,
TCU,Delay of Game,Procedural,5,25.0,5.0,TCU,Big 12,,,,
TCU,False Start,Procedural,7,26.0,3.71,TCU,Big 12,,,,
TCU,Holding,Blocking / Holding,14,178.0,12.71,TCU,Big 12,,,,
TCU,Illegal Formation,Procedural,1,19.0,19.0,TCU,Big 12,,,,
TCU,Offside,Procedural,2,99.0,49.5,TCU,Big 12,,,,
TCU,Other / Unclassified,Administrative,2,10.0,5.0,TCU,Big 12,,,,
TCU,Other / Unclassified,Other,2,17.0,8.5,TCU,Big 12,,,,
TCU,Pass Interference,Personal / Contact,13,165.0,12.69,TCU,Big 12,,,,
TCU,Roughing the Passer,Personal / Contact,1,1.0,1.0,TCU,Big 12,,,,
TCU,Unsportsmanlike Conduct,Personal / Contact,4,45.0,11.25,TCU,Big 12,,,,
Temple,Delay of Game,Procedural,2,10.0,5.0,Temple,American Athletic,,,,
Temple,Face Mask,Other,2,16.0,8.0,Temple,American Athletic,,,,
Temple,False Start,Procedural,9,40.0,4.44,Temple,American Athletic,,,,
Temple,Holding,Blocking / Holding,10,92.0,9.2,Temple,American Athletic,,,,
Temple,Illegal Formation,Procedural,1,5.0,5.0,Temple,American Athletic,,,,
Temple,Offside,Procedural,4,30.0,7.5,Temple,American Athletic,,,,
Temple,Other / Unclassified,Administrative,2,52.0,26.0,Temple,American Athletic,,,,
Temple,Other / Unclassified,Blocking / Holding,1,62.0,62.0,Temple,American Athletic,,,,
Temple,Other / Unclassified,Other,3,5.0,1.67,Temple,American Athletic,,,,
Temple,Other / Unclassified,Procedural,1,9.0,9.0,Temple,American Athletic,,,,
Temple,Pass Interference,Personal / Contact,11,163.0,14.82,Temple,American Athletic,,,,
Temple,Personal Foul,Personal / Contact,4,24.0,6.0,Temple,American Athletic,,,,
Temple,Roughing the Passer,Personal / Contact,3,58.0,19.33,Temple,American Athletic,,,,
Tennessee,Delay of Game,Procedural,5,20.0,4.0,Tennessee,SEC,Tennessee,20.0,20.0,
Tennessee,False Start,Procedural,9,40.0,4.44,Tennessee,SEC,Tennessee,20.0,20.0,
Tennessee,Holding,Blocking / Holding,13,91.0,7.0,Tennessee,SEC,Tennessee,20.0,20.0,
Tennessee,Illegal Formation,Procedural,3,53.0,17.67,Tennessee,SEC,Tennessee,20.0,20.0,
Tennessee,Offside,Procedural,6,32.0,5.33,Tennessee,SEC,Tennessee,20.0,20.0,
Tennessee,Other / Unclassified,Administrative,2,5.0,2.5,Tennessee,SEC,Tennessee,20.0,20.0,
Tennessee,Other / Unclassified,Blocking / Holding,1,0.0,0.0,Tennessee,SEC,Tennessee,20.0,20.0,
Tennessee,Other / Unclassified,Other,3,33.0,11.0,Tennessee,SEC,Tennessee,20.0,20.0,
Tennessee,Other / Unclassified,Procedural,2,6.0,3.0,Tennessee,SEC,Tennessee,20.0,20.0,
Tennessee,Pass Interference,Personal / Contact,10,143.0,14.3,Tennessee,SEC,Tennessee,20.0,20.0,
Tennessee,Personal Foul,Personal / Contact,5,33.0,6.6,Tennessee,SEC,Tennessee,20.0,20.0,
Tennessee,Roughing the Passer,Personal / Contact,2,10.0,5.0,Tennessee,SEC,Tennessee,20.0,20.0,
Texas,Delay of Game,Procedural,2,10.0,5.0,Texas,SEC,Texas,17.0,18.0,
Texas,Face Mask,Other,3,22.0,7.33,Texas,SEC,Texas,17.0,18.0,
Texas,False Start,Procedural,10,37.0,3.7,Texas,SEC,Texas,17.0,18.0,
Texas,Holding,Blocking / Holding,13,108.0,8.31,Texas,SEC,Texas,17.0,18.0,
Texas,Illegal Formation,Procedural,1,5.0,5.0,Texas,SEC,Texas,17.0,18.0,
Texas,Offside,Procedural,8,90.0,11.25,Texas,SEC,Texas,17.0,18.0,
