team,penalty_type,penalty_category,total_penalties,total_yards,avg_yards_per_penalty,school_for_merge_x,conference,school_for_merge_y,AP Top 25
Ohio,Other / Unclassified,Other,7,42,6.0,Ohio,MAC,,
Ohio,Other / Unclassified,Procedural,1,0,0.0,Ohio,MAC,,
Ohio,Pass Interference,Personal / Contact,6,89,14.83,Ohio,MAC,,
Ohio,Personal Foul,Personal / Contact,5,28,5.6,Ohio,MAC,,
Ohio,Roughing the Passer,Personal / Contact,1,15,15.0,Ohio,MAC,,
Ohio,Targeting,Personal / Contact,1,5,5.0,Ohio,MAC,,
Ohio,Unsportsmanlike Conduct,Personal / Contact,2,64,32.0,Ohio,MAC,,
Ohio State,Delay of Game,Procedural,3,15,5.0,Ohio State,Big 10,Ohio State,1.0
Ohio State,False Start,Procedural,9,45,5.0,Ohio State,Big 10,Ohio State,1.0
Ohio State,Holding,Blocking / Holding,6,28,4.67,Ohio State,Big 10,Ohio State,1.0
Ohio State,Illegal Formation,Procedural,3,18,6.0,Ohio State,Big 10,Ohio State,1.0
Ohio State,Offside,Procedural,3,5,1.67,Ohio State,Big 10,Ohio State,1.0
Ohio State,Other / Unclassified,Blocking / Holding,1,70,70.0,Ohio State,Big 10,Ohio State,1.0
Ohio State,Other / Unclassified,Other,2,43,21.5,Ohio State,Big 10,Ohio State,1.0
Ohio State,Pass Interference,Personal / Contact,1,8,8.0,Ohio State,Big 10,Ohio State,1.0
Ohio State,Personal Foul,Personal / Contact,2,15,7.5,Ohio State,Big 10,Ohio State,1.0
Ohio State,Roughing the Passer,Personal / Contact,1,15,15.0,Ohio State,Big 10,Ohio State,1.0
Ohio State,Targeting,Personal / Contact,1,15,15.0,Ohio State,Big 10,Ohio State,1.0
Ohio State,Unsportsmanlike Conduct,Personal / Contact,1,0,0.0,Ohio State,Big 10,Ohio State,1.0
Oklahoma,Delay of Game,Procedural,3,15,5.0,Oklahoma,SEC,Oklahoma,8.0
Oklahoma,Face Mask,Other,2,24,12.0,Oklahoma,SEC,Oklahoma,8.0
Oklahoma,False Start,Procedural,12,40,3.33,Oklahoma,SEC,Oklahoma,8.0
Oklahoma,Holding,Blocking / Holding,15,78,5.2,Oklahoma,SEC,Oklahoma,8.0
Oklahoma,Illegal Formation,Procedural,4,14,3.5,Oklahoma,SEC,Oklahoma,8.0
Oklahoma,Offside,Procedural,1,0,0.0,Oklahoma,SEC,Oklahoma,8.0
Oklahoma,Other / Unclassified,Administrative,2,10,5.0,Oklahoma,SEC,Oklahoma,8.0
Oklahoma,Other / Unclassified,Blocking / Holding,4,21,5.25,Oklahoma,SEC,Oklahoma,8.0
Oklahoma,Other / Unclassified,Other,5,27,5.4,Oklahoma,SEC,Oklahoma,8.0
Oklahoma,Pass Interference,Personal / Contact,9,76,8.44,Oklahoma,SEC,Oklahoma,8.0
Oklahoma,Personal Foul,Personal / Contact,4,33,8.25,Oklahoma,SEC,Oklahoma,8.0
Oklahoma,Roughing the Passer,Personal / Contact,1,0,0.0,Oklahoma,SEC,Oklahoma,8.0
Oklahoma State,Delay of Game,Procedural,4,20,5.0,Oklahoma State,Big 12,,
Oklahoma State,Face Mask,Other,3,7,2.33,Oklahoma State,Big 12,,
Oklahoma State,False Start,Procedural,10,25,2.5,Oklahoma State,Big 12,,
Oklahoma State,Holding,Blocking / Holding,9,48,5.33,Oklahoma State,Big 12,,
Oklahoma State,Illegal Formation,Procedural,1,2,2.0,Oklahoma State,Big 12,,
Oklahoma State,Offside,Procedural,1,53,53.0,Oklahoma State,Big 12,,
Oklahoma State,Other / Unclassified,Administrative,4,46,11.5,Oklahoma State,Big 12,,
Oklahoma State,Other / Unclassified,Other,3,12,4.0,Oklahoma State,Big 12,,
Oklahoma State,Other / Unclassified,Procedural,1,16,16.0,Oklahoma State,Big 12,,
Oklahoma State,Pass Interference,Personal / Contact,2,15,7.5,Oklahoma State,Big 12,,
Oklahoma State,Personal Foul,Personal / Contact,5,15,3.0,Oklahoma State,Big 12,,
Oklahoma State,Targeting,Personal / Contact,3,28,9.33,Oklahoma State,Big 12,,
Old Dominion,Delay of Game,Procedural,2,10,5.0,Old Dominion,SBC,,
Old Dominion,Face Mask,Other,4,51,12.75,Old Dominion,SBC,,
Old Dominion,False Start,Procedural,8,30,3.75,Old Dominion,SBC,,
Old Dominion,Holding,Blocking / Holding,14,119,8.5,Old Dominion,SBC,,
Old Dominion,Illegal Formation,Procedural,2,32,16.0,Old Dominion,SBC,,
Old Dominion,Offside,Procedural,7,29,4.14,Old Dominion,SBC,,
Old Dominion,Other / Unclassified,Administrative,2,6,3.0,Old Dominion,SBC,,
Old Dominion,Other / Unclassified,Blocking / Holding,3,68,22.67,Old Dominion,SBC,,
Old Dominion,Other / Unclassified,Other,12,192,16.0,Old Dominion,SBC,,
Old Dominion,Other / Unclassified,Procedural,1,0,0.0,Old Dominion,SBC,,
Old Dominion,Pass Interference,Personal / Contact,8,68,8.5,Old Dominion,SBC,,
Old Dominion,Personal Foul,Personal / Contact,3,41,13.67,Old Dominion,SBC,,
Old Dominion,Targeting,Personal / Contact,3,30,10.0,Old Dominion,SBC,,
Old Dominion,Unsportsmanlike Conduct,Personal / Contact,2,0,0.0,Old Dominion,SBC,,
Ole Miss,Delay of Game,Procedural,5,25,5.0,Ole Miss,SEC,Ole Miss,5.0
Ole Miss,Face Mask,Other,3,48,16.0,Ole Miss,SEC,Ole Miss,5.0
Ole Miss,False Start,Procedural,10,19,1.9,Ole Miss,SEC,Ole Miss,5.0
Ole Miss,Holding,Blocking / Holding,17,157,9.24,Ole Miss,SEC,Ole Miss,5.0
Ole Miss,Illegal Formation,Procedural,3,102,34.0,Ole Miss,SEC,Ole Miss,5.0
Ole Miss,Offside,Procedural,5,20,4.0,Ole Miss,SEC,Ole Miss,5.0
Ole Miss,Other / Unclassified,Administrative,5,28,5.6,Ole Miss,SEC,Ole Miss,5.0
Ole Miss,Other / Unclassified,Other,3,30,10.0,Ole Miss,SEC,Ole Miss,5.0
Ole Miss,Pass Interference,Personal / Contact,5,68,13.6,Ole Miss,SEC,Ole Miss,5.0
Ole Miss,Personal Foul,Personal / Contact,2,16,8.0,Ole Miss,SEC,Ole Miss,5.0
Ole Miss,Roughing,Personal / Contact,2,30,15.0,Ole Miss,SEC,Ole Miss,5.0
Ole Miss,Unsportsmanlike Conduct,Personal / Contact,1,15,15.0,Ole Miss,SEC,Ole Miss,5.0
Oregon,Delay of Game,Procedural,1,5,5.0,Oregon,Big 10,Oregon,6.0
Oregon,Face Mask,Other,3,35,11.67,Oregon,Big 10,Oregon,6.0
Oregon,False Start,Procedural,11,49,4.45,Oregon,Big 10,Oregon,6.0
Oregon,Holding,Blocking / Holding,14,123,8.79,Oregon,Big 10,Oregon,6.0
Oregon,Illegal Formation,Procedural,2,53,26.5,Oregon,Big 10,Oregon,6.0
Oregon,Offside,Procedural,9,61,6.78,Oregon,Big 10,Oregon,6.0
Oregon,Other / Unclassified,Administrative,1,0,0.0,Oregon,Big 10,Oregon,6.0
Oregon,Other / Unclassified,Blocking / Holding,1,19,19.0,Oregon,Big 10,Oregon,6.0
Oregon,Other / Unclassified,Other,3,20,6.67,Oregon,Big 10,Oregon,6.0
Oregon,Other / Unclassified,Procedural,3,10,3.33,Oregon,Big 10,Oregon,6.0
Oregon,Pass Interference,Personal / Contact,3,28,9.33,Oregon,Big 10,Oregon,6.0
Oregon,Personal Foul,Personal / Contact,1,15,15.0,Oregon,Big 10,Oregon,6.0
Oregon,Roughing the Passer,Personal / Contact,1,0,0.0,Oregon,Big 10,Oregon,6.0
Oregon,Targeting,Personal / Contact,1,7,7.0,Oregon,Big 10,Oregon,6.0
Oregon,Unsportsmanlike Conduct,Personal / Contact,3,30,10.0,Oregon,Big 10,Oregon,6.0
Oregon State,Delay of Game,Procedural,4,20,5.0,Oregon State,Pac-12,,
Oregon State,Face Mask,Other,1,1,1.0,Oregon State,Pac-12,,
Oregon State,False Start,Procedural,14,70,5.0,Oregon State,Pac-12,,
Oregon State,Holding,Blocking / Holding,14,144,10.29,Oregon State,Pac-12,,
Oregon State,Offside,Procedural,5,77,15.4,Oregon State,Pac-12,,
Oregon State,Other / Unclassified,Administrative,3,9,3.0,Oregon State,Pac-12,,
Oregon State,Other / Unclassified,Other,5,0,0.0,Oregon State,Pac-12,,
Oregon State,Other / Unclassified,Safety / Tackling,1,10,10.0,Oregon State,Pac-12,,
Oregon State,Pass Interference,Personal / Contact,6,77,12.83,Oregon State,Pac-12,,
Oregon State,Roughing the Passer,Personal / Contact,1,8,8.0,Oregon State,Pac-12,,
Oregon State,Unsportsmanlike Conduct,Personal / Contact,4,47,11.75,Oregon State,Pac-12,,
Penn State,Delay of Game,Procedural,2,10,5.0,Penn State,Big 10,,
Penn State,False Start,Procedural,9,25,2.78,Penn State,Big 10,,
Penn State,Holding,Blocking / Holding,4,49,12.25,Penn State,Big 10,,
Penn State,Illegal Motion,Other,1,14,14.0,Penn State,Big 10,,
Penn State,Offside,Procedural,2,10,5.0,Penn State,Big 10,,
Penn State,Other / Unclassified,Blocking / Holding,1,0,0.0,Penn State,Big 10,,
Penn State,Other / Unclassified,Other,1,9,9.0,Penn State,Big 10,,
Penn State,Pass Interference,Personal / Contact,2,30,15.0,Penn State,Big 10,,
Penn State,Roughing the Passer,Personal / Contact,1,15,15.0,Penn State,Big 10,,
Penn State,Unsportsmanlike Conduct,Personal / Contact,2,8,4.0,Penn State,Big 10,,
Pittsburgh,Delay of Game,Procedural,3,15,5.0,Pittsburgh,ACC,,
Pittsburgh,Face Mask,Other,6,58,9.67,Pittsburgh,ACC,,
Pittsburgh,False Start,Procedural,16,80,5.0,Pittsburgh,ACC,,
Pittsburgh,Holding,Blocking / Holding,22,184,8.36,Pittsburgh,ACC,,
Pittsburgh,Illegal Formation,Procedural,1,0,0.0,Pittsburgh,ACC,,
Pittsburgh,Illegal Motion,Other,1,5,5.0,Pittsburgh,ACC,,
Pittsburgh,Offside,Procedural,9,44,4.89,Pittsburgh,ACC,,
Pittsburgh,Other / Unclassified,Administrative,3,8,2.67,Pittsburgh,ACC,,
Pittsburgh,Other / Unclassified,Blocking / Holding,3,62,20.67,Pittsburgh,ACC,,
Pittsburgh,Other / Unclassified,Other,14,119,8.5,Pittsburgh,ACC,,
Pittsburgh,Other / Unclassified,Procedural,1,9,9.0,Pittsburgh,ACC,,
Pittsburgh,Pass Interference,Personal / Contact,12,165,13.75,Pittsburgh,ACC,,
Pittsburgh,Personal Foul,Personal / Contact,7,61,8.71,Pittsburgh,ACC,,
Pittsburgh,Roughing the Passer,Personal / Contact,4,76,19.0,Pittsburgh,ACC,,
Pittsburgh,Targeting,Personal / Contact,1,0,0.0,Pittsburgh,ACC,,
Pittsburgh,Unsportsmanlike Conduct,Personal / Contact,4,30,7.5,Pittsburgh,ACC,,
Purdue,Face Mask,Other,1,0,0.0,Purdue,Big 10,,
Purdue,False Start,Procedural,8,40,5.0,Purdue,Big 10,,
Purdue,Holding,Blocking / Holding,14,122,8.71,Purdue,Big 10,,
Purdue,Illegal Formation,Procedural,1,39,39.0,Purdue,Big 10,,
Purdue,Offside,Procedural,6,45,7.5,Purdue,Big 10,,
Purdue,Other / Unclassified,Administrative,7,54,7.71,Purdue,Big 10,,
Purdue,Other / Unclassified,Other,3,38,12.67,Purdue,Big 10,,
Purdue,Pass Interference,Personal / Contact,9,97,10.78,Purdue,Big 10,,
Purdue,Pass Interference,Procedural,1,7,7.0,Purdue,Big 10,,
Purdue,Personal Foul,Personal / Contact,5,65,13.0,Purdue,Big 10,,
Purdue,Roughing the Passer,Personal / Contact,3,12,4.0,Purdue,Big 10,,
Purdue,Unsportsmanlike Conduct,Personal / Contact,4,42,10.5,Purdue,Big 10,,
Rice,Face Mask,Other,2,21,10.5,Rice,American,,
Rice,False Start,Procedural,8,35,4.38,Rice,American,,
Rice,Holding,Blocking / Holding,8,132,16.5,Rice,American,,
Rice,Illegal Formation,Procedural,1,0,0.0,Rice,American,,
Rice,Illegal Motion,Other,1,5,5.0,Rice,American,,
Rice,Offside,Procedural,4,19,4.75,Rice,American,,
Rice,Other / Unclassified,Administrative,2,9,4.5,Rice,American,,
Rice,Other / Unclassified,Blocking / Holding,1,10,10.0,Rice,American,,
Rice,Other / Unclassified,Other,5,112,22.4,Rice,American,,
Rice,Pass Interference,Personal / Contact,4,45,11.25,Rice,American,,
Rice,Personal Foul,Personal / Contact,5,55,11.0,Rice,American,,
Rice,Roughing the Passer,Personal / Contact,2,1,0.5,Rice,American,,
Rice,Unsportsmanlike Conduct,Personal / Contact,2,30,15.0,Rice,American,,
Rutgers,Delay of Game,Procedural,5,25,5.0,Rutgers,Big 10,,
Rutgers,Face Mask,Other,2,30,15.0,Rutgers,Big 10,,
Rutgers,False Start,Procedural,9,36,4.0,Rutgers,Big 10,,
Rutgers,Holding,Blocking / Holding,9,42,4.67,Rutgers,Big 10,,
Rutgers,Illegal Formation,Procedural,2,14,7.0,Rutgers,Big 10,,
Rutgers,Offside,Procedural,4,11,2.75,Rutgers,Big 10,,
Rutgers,Other / Unclassified,Administrative,2,5,2.5,Rutgers,Big 10,,
Rutgers,Other / Unclassified,Blocking / Holding,1,0,0.0,Rutgers,Big 10,,
Rutgers,Other / Unclassified,Other,3,53,17.67,Rutgers,Big 10,,
Rutgers,Other / Unclassified,Procedural,1,60,60.0,Rutgers,Big 10,,
Rutgers,Pass Interference,Personal / Contact,14,170,12.14,Rutgers,Big 10,,
Rutgers,Personal Foul,Personal / Contact,2,0,0.0,Rutgers,Big 10,,
Rutgers,Unsportsmanlike Conduct,Personal / Contact,2,4,2.0,Rutgers,Big 10,,
SMU,Delay of Game,Procedural,2,10,5.0,SMU,ACC,,
SMU,Face Mask,Other,3,18,6.0,SMU,ACC,,
SMU,False Start,Procedural,5,25,5.0,SMU,ACC,,
SMU,Holding,Blocking / Holding,20,190,9.5,SMU,ACC,,
SMU,Illegal Formation,Procedural,4,24,6.0,SMU,ACC,,
SMU,Offside,Procedural,8,36,4.5,SMU,ACC,,
SMU,Other / Unclassified,Administrative,4,14,3.5,SMU,ACC,,
SMU,Other / Unclassified,Blocking / Holding,3,60,20.0,SMU,ACC,,
SMU,Other / Unclassified,Other,9,45,5.0,SMU,ACC,,
SMU,Other / Unclassified,Procedural,1,0,0.0,SMU,ACC,,
SMU,Other / Unclassified,Safety / Tackling,1,0,0.0,SMU,ACC,,
SMU,Pass Interference,Personal / Contact,8,109,13.62,SMU,ACC,,
SMU,Personal Foul,Personal / Contact,12,115,9.58,SMU,ACC,,
SMU,Roughing the Passer,Personal / Contact,2,25,12.5,SMU,ACC,,
SMU,Unsportsmanlike Conduct,Personal / Contact,9,105,11.67,SMU,ACC,,
Sam Houston,Delay of Game,Procedural,5,25,5.0,Sam Houston,CUSA,,
Sam Houston,Face Mask,Other,6,64,10.67,Sam Houston,CUSA,,
Sam Houston,False Start,Procedural,7,35,5.0,Sam Houston,CUSA,,
Sam Houston,Holding,Blocking / Holding,15,158,10.53,Sam Houston,CUSA,,
Sam Houston,Offside,Procedural,2,9,4.5,Sam Houston,CUSA,,
Sam Houston,Other / Unclassified,Administrative,3,22,7.33,Sam Houston,CUSA,,
Sam Houston,Other / Unclassified,Other,7,31,4.43,Sam Houston,CUSA,,
Sam Houston,Pass Interference,Blocking / Holding,2,28,14.0,Sam Houston,CUSA,,
Sam Houston,Pass Interference,Personal / Contact,11,106,9.64,Sam Houston,CUSA,,
Sam Houston,Personal Foul,Personal / Contact,5,15,3.0,Sam Houston,CUSA,,
Sam Houston,Roughing the Passer,Personal / Contact,1,15,15.0,Sam Houston,CUSA,,
Sam Houston,Targeting,Personal / Contact,2,15,7.5,Sam Houston,CUSA,,
Sam Houston,Unsportsmanlike Conduct,Personal / Contact,3,45,15.0,Sam Houston,CUSA,,
San Diego State,Delay of Game,Procedural,3,10,3.33,San Diego State,MWC,,
San Diego State,False Start,Procedural,11,55,5.0,San Diego State,MWC,,
San Diego State,Holding,Blocking / Holding,16,178,11.12,San Diego State,MWC,,
San Diego State,Illegal Formation,Procedural,1,51,51.0,San Diego State,MWC,,
San Diego State,Offside,Procedural,3,56,18.67,San Diego State,MWC,,
San Diego State,Other / Unclassified,Administrative,4,26,6.5,San Diego State,MWC,,
San Diego State,Other / Unclassified,Blocking / Holding,1,4,4.0,San Diego State,MWC,,
San Diego State,Other / Unclassified,Other,3,30,10.0,San Diego State,MWC,,
San Diego State,Pass Interference,Personal / Contact,5,117,23.4,San Diego State,MWC,,
San Diego State,Personal Foul,Personal / Contact,1,3,3.0,San Diego State,MWC,,
San Diego State,Unsportsmanlike Conduct,Personal / Contact,1,15,15.0,San Diego State,MWC,,
San Jose St,Delay of Game,Procedural,3,11,3.67,San Jose St,MWC,,
San Jose St,Face Mask,Other,1,14,14.0,San Jose St,MWC,,
San Jose St,False Start,Procedural,15,110,7.33,San Jose St,MWC,,
San Jose St,Holding,Blocking / Holding,15,130,8.67,San Jose St,MWC,,
San Jose St,Illegal Formation,Procedural,1,48,48.0,San Jose St,MWC,,
San Jose St,Offside,Procedural,3,15,5.0,San Jose St,MWC,,
San Jose St,Other / Unclassified,Administrative,2,10,5.0,San Jose St,MWC,,
San Jose St,Other / Unclassified,Other,9,103,11.44,San Jose St,MWC,,
San Jose St,Other / Unclassified,Procedural,1,5,5.0,San Jose St,MWC,,
San Jose St,Other / Unclassified,Safety / Tackling,1,6,6.0,San Jose St,MWC,,
San Jose St,Pass Interference,Personal / Contact,3,30,10.0,San Jose St,MWC,,
San Jose St,Personal Foul,Personal / Contact,2,6,3.0,San Jose St,MWC,,
San Jose St,Roughing,Personal / Contact,1,15,15.0,San Jose St,MWC,,
San Jose St,Roughing the Kicker,Personal / Contact,2,52,26.0,San Jose St,MWC,,
San Jose St,Unsportsmanlike Conduct,Personal / Contact,4,31,7.75,San Jose St,MWC,,
South Alabama,Delay of Game,Procedural,6,30,5.0,South Alabama,SBC,,
South Alabama,Face Mask,Other,2,30,15.0,South Alabama,SBC,,
South Alabama,False Start,Procedural,17,60,3.53,South Alabama,SBC,,
South Alabama,Holding,Blocking / Holding,21,121,5.76,South Alabama,SBC,,
South Alabama,Illegal Formation,Procedural,6,68,11.33,South Alabama,SBC,,
South Alabama,Offside,Procedural,3,24,8.0,South Alabama,SBC,,
South Alabama,Other / Unclassified,Administrative,2,27,13.5,South Alabama,SBC,,
South Alabama,Other / Unclassified,Blocking / Holding,1,40,40.0,South Alabama,SBC,,
South Alabama,Other / Unclassified,Other,8,11,1.38,South Alabama,SBC,,
South Alabama,Other / Unclassified,Safety / Tackling,1,0,0.0,South Alabama,SBC,,
South Alabama,Pass Interference,Personal / Contact,5,56,11.2,South Alabama,SBC,,
South Alabama,Personal Foul,Personal / Contact,2,16,8.0,South Alabama,SBC,,
South Alabama,Roughing,Personal / Contact,1,0,0.0,South Alabama,SBC,,
South Alabama,Roughing the Passer,Personal / Contact,4,45,11.25,South Alabama,SBC,,
South Alabama,Unsportsmanlike Conduct,Personal / Contact,1,15,15.0,South Alabama,SBC,,
South Carolina,Delay of Game,Procedural,3,15,5.0,South Carolina,SEC,,
South Carolina,False Start,Procedural,23,108,4.7,South Carolina,SEC,,
South Carolina,Holding,Blocking / Holding,12,92,7.67,South Carolina,SEC,,
South Carolina,Offside,Procedural,5,17,3.4,South Carolina,SEC,,
South Carolina,Other / Unclassified,Administrative,4,30,7.5,South Carolina,SEC,,
South Carolina,Other / Unclassified,Blocking / Holding,2,24,12.0,South Carolina,SEC,,
South Carolina,Other / Unclassified,Other,8,78,9.75,South Carolina,SEC,,
South Carolina,Pass Interference,Personal / Contact,8,118,14.75,South Carolina,SEC,,
South Carolina,Personal Foul,Personal / Contact,3,15,5.0,South Carolina,SEC,,
South Carolina,Unsportsmanlike Conduct,Personal / Contact,1,0,0.0,South Carolina,SEC,,
South Florida,Face Mask,Other,1,15,15.0,South Florida,American,,
South Florida,False Start,Procedural,10,46,4.6,South Florida,American,,
South Florida,Holding,Blocking / Holding,12,142,11.83,South Florida,American,,
South Florida,Illegal Motion,Other,1,46,46.0,South Florida,American,,
South Florida,Offside,Procedural,5,21,4.2,South Florida,American,,
South Florida,Other / Unclassified,Administrative,2,10,5.0,South Florida,American,,
South Florida,Other / Unclassified,Blocking / Holding,1,0,0.0,South Florida,American,,
South Florida,Other / Unclassified,Other,1,15,15.0,South Florida,American,,
South Florida,Other / Unclassified,Procedural,1,4,4.0,South Florida,American,,
South Florida,Pass Interference,Personal / Contact,5,64,12.8,South Florida,American,,
South Florida,Personal Foul,Personal / Contact,3,15,5.0,South Florida,American,,
South Florida,Roughing,Personal / Contact,1,11,11.0,South Florida,American,,
South Florida,Roughing the Passer,Personal / Contact,2,5,2.5,South Florida,American,,
South Florida,Unsportsmanlike Conduct,Personal / Contact,3,30,10.0,South Florida,American,,
Southern Miss,Delay of Game,Procedural,7,30,4.29,Southern Miss,SBC,,
Southern Miss,Face Mask,Other,3,18,6.0,Southern Miss,SBC,,
Southern Miss,False Start,Procedural,15,75,5.0,Southern Miss,SBC,,
Southern Miss,Holding,Blocking / Holding,14,162,11.57,Southern Miss,SBC,,
Southern Miss,Holding,Procedural,1,10,10.0,Southern Miss,SBC,,
Southern Miss,Illegal Formation,Procedural,1,46,46.0,Southern Miss,SBC,,
Southern Miss,Offside,Procedural,5,15,3.0,Southern Miss,SBC,,
Southern Miss,Other / Unclassified,Administrative,4,24,6.0,Southern Miss,SBC,,
Southern Miss,Other / Unclassified,Blocking / Holding,1,16,16.0,Southern Miss,SBC,,
Southern Miss,Other / Unclassified,Other,11,137,12.45,Southern Miss,SBC,,
Southern Miss,Pass Interference,Personal / Contact,9,98,10.89,Southern Miss,SBC,,
Southern Miss,Pass Interference,Procedural,1,0,0.0,Southern Miss,SBC,,
Southern Miss,Personal Foul,Personal / Contact,6,38,6.33,Southern Miss,SBC,,
Southern Miss,Roughing the Passer,Personal / Contact,2,15,7.5,Southern Miss,SBC,,
Southern Miss,Targeting,Personal / Contact,1,34,34.0,Southern Miss,SBC,,
Southern Miss,Unsportsmanlike Conduct,Personal / Contact,2,9,4.5,Southern Miss,SBC,,
Stanford,Delay of Game,Procedural,6,20,3.33,Stanford,ACC,,
Stanford,Face Mask,Other,1,15,15.0,Stanford,ACC,,
Stanford,False Start,Procedural,10,40,4.0,Stanford,ACC,,
Stanford,Holding,Blocking / Holding,13,167,12.85,Stanford,ACC,,
Stanford,Illegal Motion,Other,1,42,42.0,Stanford,ACC,,
Stanford,Offside,Procedural,10,113,11.3,Stanford,ACC,,
Stanford,Other / Unclassified,Administrative,5,65,13.0,Stanford,ACC,,
Stanford,Other / Unclassified,Blocking / Holding,2,37,18.5,Stanford,ACC,,
Stanford,Other / Unclassified,Other,5,39,7.8,Stanford,ACC,,
Stanford,Pass Interference,Personal / Contact,13,127,9.77,Stanford,ACC,,
Stanford,Personal Foul,Personal / Contact,3,7,2.33,Stanford,ACC,,
Stanford,Roughing,Personal / Contact,1,0,0.0,Stanford,ACC,,
Stanford,Roughing the Passer,Personal / Contact,1,15,15.0,Stanford,ACC,,
Stanford,Unsportsmanlike Conduct,Personal / Contact,3,38,12.67,Stanford,ACC,,
Syracuse,Delay of Game,Procedural,7,35,5.0,Syracuse,ACC,,
Syracuse,False Start,Procedural,13,65,5.0,Syracuse,ACC,,
Syracuse,Holding,Blocking / Holding,14,204,14.57,Syracuse,ACC,,
Syracuse,Illegal Motion,Other,2,52,26.0,Syracuse,ACC,,
Syracuse,Offside,Procedural,8,41,5.12,Syracuse,ACC,,
Syracuse,Other / Unclassified,Administrative,4,37,9.25,Syracuse,ACC,,
Syracuse,Other / Unclassified,Blocking / Holding,1,10,10.0,Syracuse,ACC,,
Syracuse,Other / Unclassified,Other,1,0,0.0,Syracuse,ACC,,
Syracuse,Other / Unclassified,Procedural,1,5,5.0,Syracuse,ACC,,
Syracuse,Pass Interference,Personal / Contact,9,77,8.56,Syracuse,ACC,,
Syracuse,Personal Foul,Personal / Contact,5,134,26.8,Syracuse,ACC,,
Syracuse,Roughing the Passer,Personal / Contact,3,30,10.0,Syracuse,ACC,,
TCU,Delay of Game,Procedural,1,5,5.0,TCU,Big 12,,
TCU,Face Mask,Other,3,49,16.33,TCU,Big 12,,
TCU,False Start,Procedural,17,75,4.41,TCU,Big 12,,
TCU,Holding,Blocking / Holding,15,160,10.67,TCU,Big 12,,
TCU,Illegal Formation,Procedural,2,76,38.0,TCU,Big 12,,
TCU,Offside,Procedural,3,1,0.33,TCU,Big 12,,
TCU,Other / Unclassified,Blocking / Holding,1,0,0.0,TCU,Big 12,,
TCU,Other / Unclassified,Other,7,78,11.14,TCU,Big 12,,
TCU,Other / Unclassified,Safety / Tackling,1,0,0.0,TCU,Big 12,,
TCU,Pass Interference,Personal / Contact,15,210,14.0,TCU,Big 12,,
TCU,Pass Interference,Procedural,1,0,0.0,TCU,Big 12,,
TCU,Personal Foul,Personal / Contact,3,0,0.0,TCU,Big 12,,
TCU,Roughing the Passer,Personal / Contact,1,8,8.0,TCU,Big 12,,
TCU,Unsportsmanlike Conduct,Personal / Contact,2,15,7.5,TCU,Big 12,,
Temple,False Start,Procedural,5,25,5.0,Temple,American,,
Temple,Holding,Blocking / Holding,7,67,9.57,Temple,American,,
Temple,Offside,Procedural,8,53,6.62,Temple,American,,
Temple,Other / Unclassified,Other,7,57,8.14,Temple,American,,
Temple,Other / Unclassified,Safety / Tackling,1,8,8.0,Temple,American,,
Temple,Pass Interference,Personal / Contact,4,48,12.0,Temple,American,,
Tennessee,Delay of Game,Procedural,2,9,4.5,Tennessee,SEC,Tennessee,20.0
Tennessee,Face Mask,Other,4,25,6.25,Tennessee,SEC,Tennessee,20.0
Tennessee,False Start,Procedural,16,65,4.06,Tennessee,SEC,Tennessee,20.0
Tennessee,Holding,Blocking / Holding,14,119,8.5,Tennessee,SEC,Tennessee,20.0
Tennessee,Illegal Formation,Procedural,2,29,14.5,Tennessee,SEC,Tennessee,20.0
Tennessee,Offside,Procedural,8,53,6.62,Tennessee,SEC,Tennessee,20.0
Tennessee,Other / Unclassified,Administrative,3,27,9.0,Tennessee,SEC,Tennessee,20.0
Tennessee,Other / Unclassified,Blocking / Holding,2,27,13.5,Tennessee,SEC,Tennessee,20.0
Tennessee,Other / Unclassified,Other,4,34,8.5,Tennessee,SEC,Tennessee,20.0
Tennessee,Other / Unclassified,Procedural,1,5,5.0,Tennessee,SEC,Tennessee,20.0
Tennessee,Pass Interference,Personal / Contact,11,163,14.82,Tennessee,SEC,Tennessee,20.0
Tennessee,Pass Interference,Procedural,1,15,15.0,Tennessee,SEC,Tennessee,20.0
Tennessee,Personal Foul,Personal / Contact,9,59,6.56,Tennessee,SEC,Tennessee,20.0
Tennessee,Roughing the Kicker,Personal / Contact,2,42,21.0,Tennessee,SEC,Tennessee,20.0
Tennessee,Roughing the Passer,Personal / Contact,2,15,7.5,Tennessee,SEC,Tennessee,20.0
Tennessee,Unsportsmanlike Conduct,Personal / Contact,3,65,21.67,Tennessee,SEC,Tennessee,20.0
Texas,Delay of Game,Procedural,5,25,5.0,Texas,SEC,Texas,17.0
Texas,Face Mask,Other,3,30,10.0,Texas,SEC,Texas,17.0
Texas,False Start,Procedural,24,110,4.58,Texas,SEC,Texas,17.0
Texas,Holding,Blocking / Holding,22,132,6.0,Texas,SEC,Texas,17.0
Texas,Illegal Formation,Procedural,1,5,5.0,Texas,SEC,Texas,17.0
Texas,Illegal Motion,Other,1,46,46.0,Texas,SEC,Texas,17.0
Texas,Offside,Procedural,7,13,1.86,Texas,SEC,Texas,17.0
Texas,Other / Unclassified,Administrative,4,11,2.75,Texas,SEC,Texas,17.0
Texas,Other / Unclassified,Blocking / Holding,3,69,23.0,Texas,SEC,Texas,17.0
