school_from_rank,AP_rank,Coaches_rank
Alabama,10,10
BYU,11,11
Georgia,4,4
Georgia Tech,15,12
Houston,25,24
Indiana,2,2
James Madison,21,22
Miami,14,15
Michigan,18,17
Missouri,23,21
North Texas,22,23
Notre Dame,9,9
Ohio State,1,1
Oklahoma,8,8
Ole Miss,5,6
Oregon,6,5
Tennessee,20,20
Texas,17,18
Texas A&M,3,3
Texas Tech,6,7
Tulane,24,25
USC,16,16
Utah,13,14
Vanderbilt,12,13
Virginia,19,19
