offense,conference,penalty_type,total_penalties,total_yards,average_yards_per_penalty
North Carolina,ACC,False Start,10,37.0,3.7
North Carolina,ACC,Other / Unclassified,6,50.0,8.33
North Carolina,ACC,Pass Interference,5,60.0,12.0
North Carolina,ACC,Personal Foul,5,27.0,5.4
North Carolina,ACC,Offside,4,50.0,12.5
North Carolina,ACC,Illegal Formation,3,57.0,19.0
North Carolina,ACC,Roughing the Passer,3,37.0,12.33
North Carolina,ACC,Delay of Game,2,5.0,2.5
North Carolina,ACC,Face Mask,1,7.0,7.0
North Carolina,ACC,Illegal Motion,1,3.0,3.0
North Carolina,ACC,Unsportsmanlike Conduct,1,1.0,1.0
Northwestern,Big 10,Other / Unclassified,9,25.0,2.78
Northwestern,Big 10,Pass Interference,8,105.0,13.12
Northwestern,Big 10,False Start,6,20.0,3.33
Northwestern,Big 10,Holding,6,39.0,6.5
Northwestern,Big 10,Face Mask,4,53.0,13.25
Northwestern,Big 10,Illegal Formation,3,6.0,2.0
Northwestern,Big 10,Offside,3,10.0,3.33
Northwestern,Big 10,Unsportsmanlike Conduct,3,18.0,6.0
Northwestern,Big 10,Delay of Game,2,5.0,2.5
Northwestern,Big 10,Personal Foul,2,15.0,7.5
Northwestern,Big 10,Roughing,1,0.0,0.0
Notre Dame,Independent,Pass Interference,10,159.0,15.9
Notre Dame,Independent,False Start,9,40.0,4.44
Notre Dame,Independent,Holding,8,80.0,10.0
Notre Dame,Independent,Other / Unclassified,8,54.0,6.75
Notre Dame,Independent,Personal Foul,3,30.0,10.0
Notre Dame,Independent,Roughing the Passer,3,43.0,14.33
Notre Dame,Independent,Offside,2,14.0,7.0
Notre Dame,Independent,Delay of Game,1,5.0,5.0
Notre Dame,Independent,Face Mask,1,8.0,8.0
ODU,SBC,Other / Unclassified,15,168.0,11.2
ODU,SBC,Holding,11,83.0,7.55
ODU,SBC,False Start,7,25.0,3.57
ODU,SBC,Offside,7,21.0,3.0
ODU,SBC,Pass Interference,7,76.0,10.86
ODU,SBC,Face Mask,3,36.0,12.0
ODU,SBC,Personal Foul,3,41.0,13.67
ODU,SBC,Illegal Formation,2,32.0,16.0
ODU,SBC,Targeting,2,30.0,15.0
ODU,SBC,Unsportsmanlike Conduct,2,0.0,0.0
ODU,SBC,Delay of Game,1,5.0,5.0
Ohio,MAC,False Start,16,60.0,3.75
Ohio,MAC,Holding,15,142.0,9.47
Ohio,MAC,Other / Unclassified,9,71.0,7.89
Ohio,MAC,Delay of Game,7,35.0,5.0
Ohio,MAC,Face Mask,4,55.0,13.75
Ohio,MAC,Offside,4,5.0,1.25
Ohio,MAC,Pass Interference,4,59.0,14.75
Ohio,MAC,Personal Foul,4,10.0,2.5
Ohio,MAC,Unsportsmanlike Conduct,2,64.0,32.0
Ohio,MAC,Illegal Formation,1,0.0,0.0
Ohio,MAC,Roughing the Passer,1,15.0,15.0
Ohio,MAC,Targeting,1,5.0,5.0
Ohio State,Big 10,False Start,8,40.0,5.0
Ohio State,Big 10,Holding,6,30.0,5.0
Ohio State,Big 10,Offside,4,5.0,1.25
Ohio State,Big 10,Other / Unclassified,4,128.0,32.0
Ohio State,Big 10,Delay of Game,3,15.0,5.0
Ohio State,Big 10,Face Mask,2,30.0,15.0
Ohio State,Big 10,Illegal Formation,2,13.0,6.5
Ohio State,Big 10,Pass Interference,2,23.0,11.5
Ohio State,Big 10,Personal Foul,2,15.0,7.5
Ohio State,Big 10,Roughing the Passer,2,30.0,15.0
Ohio State,Big 10,Unsportsmanlike Conduct,2,0.0,0.0
Oklahoma,SEC,Holding,14,70.0,5.0
Oklahoma,SEC,False Start,11,35.0,3.18
Oklahoma,SEC,Other / Unclassified,6,25.0,4.17
Oklahoma,SEC,Pass Interference,6,48.0,8.0
Oklahoma,SEC,Personal Foul,4,33.0,8.25
Oklahoma,SEC,Delay of Game,3,15.0,5.0
Oklahoma,SEC,Illegal Formation,3,10.0,3.33
Oklahoma,SEC,Face Mask,2,24.0,12.0
Oklahoma,SEC,Offside,1,0.0,0.0
Oklahoma,SEC,Roughing the Passer,1,0.0,0.0
Oklahoma State,Big 12,False Start,10,25.0,2.5
Oklahoma State,Big 12,Other / Unclassified,10,39.0,3.9
Oklahoma State,Big 12,Holding,9,0.0,0.0
Oklahoma State,Big 12,Pass Interference,8,29.0,3.62
Oklahoma State,Big 12,Delay of Game,3,15.0,5.0
Oklahoma State,Big 12,Face Mask,2,5.0,2.5
Oklahoma State,Big 12,Personal Foul,2,15.0,7.5
Oklahoma State,Big 12,Targeting,2,22.0,11.0
Oklahoma State,Big 12,Illegal Formation,1,2.0,2.0
Oklahoma State,Big 12,Offside,1,45.0,45.0
Oklahoma State,Big 12,Roughing,1,0.0,0.0
Ole Miss,SEC,Holding,19,164.0,8.63
Ole Miss,SEC,False Start,10,19.0,1.9
Ole Miss,SEC,Other / Unclassified,8,50.0,6.25
Ole Miss,SEC,Pass Interference,7,139.0,19.86
Ole Miss,SEC,Delay of Game,4,20.0,5.0
Ole Miss,SEC,Offside,4,9.0,2.25
Ole Miss,SEC,Face Mask,3,62.0,20.67
Ole Miss,SEC,Illegal Formation,3,100.0,33.33
Ole Miss,SEC,Roughing,3,45.0,15.0
Ole Miss,SEC,Personal Foul,2,1.0,0.5
Ole Miss,SEC,Unsportsmanlike Conduct,1,15.0,15.0
Oregon,Big 10,Holding,14,123.0,8.79
Oregon,Big 10,False Start,11,49.0,4.45
Oregon,Big 10,Offside,8,47.0,5.88
Oregon,Big 10,Other / Unclassified,8,49.0,6.12
Oregon,Big 10,Face Mask,3,35.0,11.67
Oregon,Big 10,Pass Interference,3,28.0,9.33
Oregon,Big 10,Unsportsmanlike Conduct,3,30.0,10.0
Oregon,Big 10,Delay of Game,1,5.0,5.0
Oregon,Big 10,Illegal Formation,1,41.0,41.0
Oregon,Big 10,Personal Foul,1,15.0,15.0
Oregon,Big 10,Roughing the Passer,1,0.0,0.0
Oregon,Big 10,Targeting,1,7.0,7.0
Oregon State,Pac 12,Holding,16,163.0,10.19
Oregon State,Pac 12,False Start,12,60.0,5.0
Oregon State,Pac 12,Other / Unclassified,11,19.0,1.73
Oregon State,Pac 12,Offside,9,78.0,8.67
Oregon State,Pac 12,Pass Interference,6,62.0,10.33
Oregon State,Pac 12,Unsportsmanlike Conduct,5,44.0,8.8
Oregon State,Pac 12,Delay of Game,4,20.0,5.0
Oregon State,Pac 12,Face Mask,2,19.0,9.5
Oregon State,Pac 12,Roughing the Passer,2,30.0,15.0
Oregon State,Pac 12,Personal Foul,1,0.0,0.0
Oregon State,Pac 12,Roughing,1,0.0,0.0
Oregon State,Pac 12,Targeting,1,15.0,15.0
Penn State,Big 10,False Start,9,25.0,2.78
Penn State,Big 10,Offside,5,13.0,2.6
Penn State,Big 10,Holding,3,1.0,0.33
Penn State,Big 10,Pass Interference,3,30.0,10.0
Penn State,Big 10,Other / Unclassified,2,9.0,4.5
Penn State,Big 10,Delay of Game,1,5.0,5.0
Penn State,Big 10,Illegal Motion,1,14.0,14.0
Penn State,Big 10,Targeting,1,15.0,15.0
Penn State,Big 10,Unsportsmanlike Conduct,1,0.0,0.0
Pittsburgh,ACC,Holding,18,163.0,9.06
Pittsburgh,ACC,Other / Unclassified,17,174.0,10.24
Pittsburgh,ACC,False Start,14,70.0,5.0
Pittsburgh,ACC,Pass Interference,9,136.0,15.11
Pittsburgh,ACC,Personal Foul,7,61.0,8.71
Pittsburgh,ACC,Offside,6,18.0,3.0
Pittsburgh,ACC,Face Mask,5,54.0,10.8
Pittsburgh,ACC,Unsportsmanlike Conduct,4,30.0,7.5
Pittsburgh,ACC,Delay of Game,3,15.0,5.0
Pittsburgh,ACC,Roughing the Passer,2,46.0,23.0
Pittsburgh,ACC,Illegal Motion,1,5.0,5.0
Pittsburgh,ACC,Targeting,1,0.0,0.0
Purdue,Big 10,Holding,12,103.0,8.58
Purdue,Big 10,Pass Interference,9,94.0,10.44
Purdue,Big 10,Other / Unclassified,8,70.0,8.75
Purdue,Big 10,Offside,6,45.0,7.5
Purdue,Big 10,False Start,5,25.0,5.0
Purdue,Big 10,Personal Foul,3,55.0,18.33
Purdue,Big 10,Roughing the Passer,2,12.0,6.0
Purdue,Big 10,Face Mask,1,0.0,0.0
Purdue,Big 10,Illegal Formation,1,39.0,39.0
Purdue,Big 10,Unsportsmanlike Conduct,1,15.0,15.0
Rice,American,False Start,8,35.0,4.38
Rice,American,Holding,8,132.0,16.5
Rice,American,Other / Unclassified,8,131.0,16.38
Rice,American,Personal Foul,5,55.0,11.0
Rice,American,Offside,4,19.0,4.75
Rice,American,Pass Interference,3,30.0,10.0
Rice,American,Face Mask,2,21.0,10.5
Rice,American,Roughing the Passer,2,1.0,0.5
Rice,American,Unsportsmanlike Conduct,2,30.0,15.0
Rice,American,Illegal Formation,1,0.0,0.0
Rice,American,Illegal Motion,1,5.0,5.0
Rutgers,Big 10,Pass Interference,13,138.0,10.62
Rutgers,Big 10,False Start,8,31.0,3.88
Rutgers,Big 10,Holding,7,32.0,4.57
Rutgers,Big 10,Other / Unclassified,7,118.0,16.86
Rutgers,Big 10,Delay of Game,4,20.0,5.0
Rutgers,Big 10,Offside,4,11.0,2.75
Rutgers,Big 10,Personal Foul,2,0.0,0.0
Rutgers,Big 10,Illegal Formation,1,2.0,2.0
Rutgers,Big 10,Unsportsmanlike Conduct,1,0.0,0.0
S Alabama,SBC,Holding,19,112.0,5.89
S Alabama,SBC,False Start,16,55.0,3.44
S Alabama,SBC,Other / Unclassified,11,72.0,6.55
S Alabama,SBC,Offside,10,39.0,3.9
S Alabama,SBC,Illegal Formation,6,68.0,11.33
S Alabama,SBC,Pass Interference,5,54.0,10.8
S Alabama,SBC,Delay of Game,4,20.0,5.0
S Alabama,SBC,Face Mask,2,30.0,15.0
S Alabama,SBC,Roughing the Passer,2,30.0,15.0
S Alabama,SBC,Personal Foul,1,0.0,0.0
S Alabama,SBC,Roughing,1,0.0,0.0
S Alabama,SBC,Targeting,1,6.0,6.0
S Alabama,SBC,Unsportsmanlike Conduct,1,15.0,15.0
SMU,ACC,Holding,18,180.0,10.0
SMU,ACC,Other / Unclassified,14,59.0,4.21
SMU,ACC,Personal Foul,9,110.0,12.22
SMU,ACC,Unsportsmanlike Conduct,9,105.0,11.67
SMU,ACC,Pass Interference,7,86.0,12.29
SMU,ACC,Offside,6,30.0,5.0
SMU,ACC,False Start,4,20.0,5.0
SMU,ACC,Face Mask,3,18.0,6.0
SMU,ACC,Illegal Formation,2,11.0,5.5
SMU,ACC,Delay of Game,1,5.0,5.0
Sam Houston,CUSA,Holding,13,153.0,11.77
Sam Houston,CUSA,Other / Unclassified,11,94.0,8.55
Sam Houston,CUSA,Pass Interference,10,77.0,7.7
Sam Houston,CUSA,Delay of Game,8,40.0,5.0
Sam Houston,CUSA,False Start,7,35.0,5.0
Sam Houston,CUSA,Personal Foul,4,0.0,0.0
Sam Houston,CUSA,Face Mask,3,38.0,12.67
Sam Houston,CUSA,Offside,2,8.0,4.0
Sam Houston,CUSA,Unsportsmanlike Conduct,2,30.0,15.0
Sam Houston,CUSA,Illegal Formation,1,45.0,45.0
Sam Houston,CUSA,Illegal Motion,1,46.0,46.0
Sam Houston,CUSA,Targeting,1,15.0,15.0
San Diego State,MWC,Holding,17,134.0,7.88
San Diego State,MWC,False Start,10,50.0,5.0
San Diego State,MWC,Offside,9,32.0,3.56
San Diego State,MWC,Other / Unclassified,6,46.0,7.67
San Diego State,MWC,Pass Interference,6,117.0,19.5
San Diego State,MWC,Delay of Game,3,10.0,3.33
San Diego State,MWC,Illegal Formation,2,51.0,25.5
San Diego State,MWC,Personal Foul,1,0.0,0.0
San Diego State,MWC,Targeting,1,15.0,15.0
San Diego State,MWC,Unsportsmanlike Conduct,1,15.0,15.0
San Jose St,MWC,Holding,15,120.0,8.0
San Jose St,MWC,False Start,14,105.0,7.5
San Jose St,MWC,Other / Unclassified,12,95.0,7.92
San Jose St,MWC,Offside,9,49.0,5.44
San Jose St,MWC,Pass Interference,5,63.0,12.6
San Jose St,MWC,Unsportsmanlike Conduct,4,31.0,7.75
San Jose St,MWC,Delay of Game,2,6.0,3.0
San Jose St,MWC,Personal Foul,2,6.0,3.0
San Jose St,MWC,Roughing the Kicker,2,52.0,26.0
San Jose St,MWC,Illegal Formation,1,48.0,48.0
San Jose St,MWC,Roughing,1,15.0,15.0
South Carolina,SEC,False Start,23,108.0,4.7
South Carolina,SEC,Other / Unclassified,15,135.0,9.0
South Carolina,SEC,Holding,11,72.0,6.55
South Carolina,SEC,Pass Interference,9,116.0,12.89
South Carolina,SEC,Offside,4,15.0,3.75
South Carolina,SEC,Delay of Game,3,15.0,5.0
South Carolina,SEC,Personal Foul,1,0.0,0.0
Southern Miss,SBC,Other / Unclassified,16,149.0,9.31
Southern Miss,SBC,Holding,13,79.0,6.08
Southern Miss,SBC,False Start,11,55.0,5.0
Southern Miss,SBC,Offside,11,35.0,3.18
Southern Miss,SBC,Pass Interference,8,78.0,9.75
Southern Miss,SBC,Delay of Game,6,25.0,4.17
Southern Miss,SBC,Personal Foul,4,45.0,11.25
Southern Miss,SBC,Roughing the Passer,4,15.0,3.75
Southern Miss,SBC,Face Mask,1,2.0,2.0
Southern Miss,SBC,Targeting,1,0.0,0.0
Stanford,ACC,Holding,12,123.0,10.25
Stanford,ACC,Other / Unclassified,12,141.0,11.75
Stanford,ACC,False Start,10,40.0,4.0
Stanford,ACC,Offside,9,108.0,12.0
Stanford,ACC,Pass Interference,9,75.0,8.33
Stanford,ACC,Delay of Game,6,20.0,3.33
Stanford,ACC,Personal Foul,3,7.0,2.33
Stanford,ACC,Unsportsmanlike Conduct,3,38.0,12.67
Stanford,ACC,Face Mask,1,15.0,15.0
Stanford,ACC,Illegal Motion,1,42.0,42.0
Stanford,ACC,Roughing,1,0.0,0.0
Stanford,ACC,Roughing the Passer,1,15.0,15.0
Syracuse,ACC,False Start,13,65.0,5.0
Syracuse,ACC,Holding,13,139.0,10.69
Syracuse,ACC,Pass Interference,9,77.0,8.56
Syracuse,ACC,Delay of Game,7,35.0,5.0
Syracuse,ACC,Offside,7,36.0,5.14
Syracuse,ACC,Other / Unclassified,6,15.0,2.5
Syracuse,ACC,Personal Foul,5,134.0,26.8
Syracuse,ACC,Roughing the Passer,3,30.0,10.0
Syracuse,ACC,Illegal Motion,2,52.0,26.0
TCU,Big 12,False Start,15,65.0,4.33
TCU,Big 12,Holding,14,159.0,11.36
TCU,Big 12,Pass Interference,12,174.0,14.5
TCU,Big 12,Other / Unclassified,8,78.0,9.75
TCU,Big 12,Face Mask,3,49.0,16.33
TCU,Big 12,Personal Foul,3,0.0,0.0
TCU,Big 12,Unsportsmanlike Conduct,2,15.0,7.5
TCU,Big 12,Delay of Game,1,5.0,5.0
TCU,Big 12,Illegal Formation,1,48.0,48.0
TCU,Big 12,Offside,1,0.0,0.0
Temple,American,Offside,8,53.0,6.62
Temple,American,Holding,7,67.0,9.57
Temple,American,Other / Unclassified,7,50.0,7.14
Temple,American,False Start,5,25.0,5.0
Temple,American,Pass Interference,4,48.0,12.0
Tennessee,SEC,False Start,16,65.0,4.06
Tennessee,SEC,Holding,13,119.0,9.15
Tennessee,SEC,Pass Interference,11,167.0,15.18
Tennessee,SEC,Other / Unclassified,10,93.0,9.3
Tennessee,SEC,Personal Foul,7,44.0,6.29
Tennessee,SEC,Offside,5,25.0,5.0
Tennessee,SEC,Unsportsmanlike Conduct,3,65.0,21.67
Tennessee,SEC,Delay of Game,2,9.0,4.5
Tennessee,SEC,Face Mask,2,14.0,7.0
Tennessee,SEC,Illegal Formation,2,29.0,14.5
Tennessee,SEC,Roughing the Passer,2,15.0,7.5
Texas,SEC,False Start,21,95.0,4.52
Texas,SEC,Holding,17,108.0,6.35
Texas,SEC,Other / Unclassified,11,43.0,3.91
Texas,SEC,Pass Interference,4,32.0,8.0
Texas,SEC,Delay of Game,3,15.0,5.0
Texas,SEC,Offside,3,8.0,2.67
Texas,SEC,Face Mask,2,15.0,7.5
Texas,SEC,Roughing the Passer,2,21.0,10.5
Texas,SEC,Illegal Formation,1,5.0,5.0
Texas A&M,SEC,Holding,18,167.0,9.28
Texas A&M,SEC,False Start,16,20.0,1.25
Texas A&M,SEC,Other / Unclassified,8,42.0,5.25
Texas A&M,SEC,Pass Interference,5,26.0,5.2
Texas A&M,SEC,Personal Foul,5,15.0,3.0
Texas A&M,SEC,Delay of Game,4,20.0,5.0
Texas A&M,SEC,Offside,3,5.0,1.67
Texas A&M,SEC,Unsportsmanlike Conduct,3,15.0,5.0
Texas A&M,SEC,Face Mask,1,1.0,1.0
Texas A&M,SEC,Illegal Formation,1,5.0,5.0
Texas A&M,SEC,Roughing the Passer,1,15.0,15.0
Texas State,SBC,Holding,16,135.0,8.44
Texas State,SBC,Other / Unclassified,11,208.0,18.91
Texas State,SBC,False Start,10,35.0,3.5
Texas State,SBC,Pass Interference,5,66.0,13.2
Texas State,SBC,Face Mask,3,36.0,12.0
Texas State,SBC,Personal Foul,3,65.0,21.67
Texas State,SBC,Offside,2,0.0,0.0
Texas State,SBC,Roughing the Passer,1,6.0,6.0
Texas Tech,Big 12,False Start,23,80.0,3.48
Texas Tech,Big 12,Holding,15,106.0,7.07
Texas Tech,Big 12,Other / Unclassified,7,27.0,3.86
Texas Tech,Big 12,Offside,6,70.0,11.67
Texas Tech,Big 12,Pass Interference,5,56.0,11.2
Texas Tech,Big 12,Face Mask,2,17.0,8.5
Texas Tech,Big 12,Personal Foul,2,15.0,7.5
Texas Tech,Big 12,Unsportsmanlike Conduct,2,27.0,13.5
Texas Tech,Big 12,Illegal Motion,1,1.0,1.0
Texas Tech,Big 12,Roughing the Passer,1,12.0,12.0
Toledo,MAC,False Start,14,69.0,4.93
Toledo,MAC,Holding,12,120.0,10.0
Toledo,MAC,Pass Interference,11,129.0,11.73
Toledo,MAC,Delay of Game,4,20.0,5.0
Toledo,MAC,Other / Unclassified,3,7.0,2.33
Toledo,MAC,Unsportsmanlike Conduct,3,0.0,0.0
Toledo,MAC,Offside,2,2.0,1.0
Toledo,MAC,Personal Foul,2,18.0,9.0
Toledo,MAC,Face Mask,1,12.0,12.0
Toledo,MAC,Roughing the Passer,1,15.0,15.0
Troy,SBC,False Start,10,45.0,4.5
Troy,SBC,Holding,10,48.0,4.8
Troy,SBC,Other / Unclassified,6,34.0,5.67
Troy,SBC,Pass Interference,6,44.0,7.33
Troy,SBC,Personal Foul,4,76.0,19.0
Troy,SBC,Roughing the Passer,3,30.0,10.0
Troy,SBC,Unsportsmanlike Conduct,3,15.0,5.0
Troy,SBC,Delay of Game,2,10.0,5.0
Troy,SBC,Illegal Formation,2,73.0,36.5
Troy,SBC,Offside,2,5.0,2.5
Tulane,American,Holding,17,197.0,11.59
Tulane,American,False Start,14,59.0,4.21
Tulane,American,Pass Interference,9,136.0,15.11
Tulane,American,Other / Unclassified,6,28.0,4.67
Tulane,American,Face Mask,3,14.0,4.67
Tulane,American,Personal Foul,3,19.0,6.33
Tulane,American,Delay of Game,2,10.0,5.0
Tulane,American,Roughing the Passer,2,15.0,7.5
Tulane,American,Unsportsmanlike Conduct,2,0.0,0.0
Tulane,American,Illegal Formation,1,0.0,0.0
Tulane,American,Illegal Motion,1,0.0,0.0
Tulane,American,Offside,1,0.0,0.0
Tulane,American,Roughing,1,15.0,15.0
Tulane,American,Roughing the Kicker,1,41.0,41.0
Tulsa,American,Pass Interference,15,217.0,14.47
Tulsa,American,False Start,9,45.0,5.0
Tulsa,American,Other / Unclassified,9,39.0,4.33
Tulsa,American,Holding,8,27.0,3.38
Tulsa,American,Delay of Game,3,10.0,3.33
Tulsa,American,Offside,3,13.0,4.33
Tulsa,American,Personal Foul,2,24.0,12.0
Tulsa,American,Roughing the Passer,2,58.0,29.0
Tulsa,American,Illegal Formation,1,0.0,0.0
UAB,American,False Start,17,82.0,4.82
UAB,American,Holding,15,191.0,12.73
UAB,American,Other / Unclassified,10,45.0,4.5
UAB,American,Pass Interference,5,65.0,13.0
UAB,American,Offside,4,10.0,2.5
UAB,American,Delay of Game,3,15.0,5.0
UAB,American,Illegal Formation,3,48.0,16.0
UAB,American,Personal Foul,3,6.0,2.0
UAB,American,Illegal Motion,1,10.0,10.0
UAB,American,Unsportsmanlike Conduct,1,65.0,65.0
UCF,Big 12,False Start,20,90.0,4.5
UCF,Big 12,Other / Unclassified,15,121.0,8.07
UCF,Big 12,Holding,12,100.0,8.33
UCF,Big 12,Delay of Game,8,30.0,3.75
UCF,Big 12,Offside,4,37.0,9.25
UCF,Big 12,Pass Interference,3,45.0,15.0
UCF,Big 12,Face Mask,2,21.0,10.5
UCF,Big 12,Illegal Formation,2,43.0,21.5
UCF,Big 12,Targeting,2,14.0,7.0
UCF,Big 12,Illegal Motion,1,5.0,5.0
UCF,Big 12,Personal Foul,1,4.0,4.0
UCF,Big 12,Roughing the Passer,1,15.0,15.0
UCLA,Big 10,False Start,22,61.0,2.77
UCLA,Big 10,Holding,12,73.0,6.08
UCLA,Big 10,Other / Unclassified,8,64.0,8.0
UCLA,Big 10,Unsportsmanlike Conduct,6,53.0,8.83
UCLA,Big 10,Pass Interference,5,53.0,10.6
UCLA,Big 10,Personal Foul,5,12.0,2.4
UCLA,Big 10,Illegal Formation,4,11.0,2.75
UCLA,Big 10,Delay of Game,1,0.0,0.0
UCLA,Big 10,Roughing the Passer,1,0.0,0.0
UConn,Independent,Holding,21,140.0,6.67
UConn,Independent,Other / Unclassified,7,30.0,4.29
UConn,Independent,Personal Foul,7,102.0,14.57
UConn,Independent,False Start,6,30.0,5.0
UConn,Independent,Pass Interference,6,72.0,12.0
UConn,Independent,Offside,4,47.0,11.75
UConn,Independent,Unsportsmanlike Conduct,4,131.0,32.75
UConn,Independent,Roughing the Passer,3,22.0,7.33
UConn,Independent,Illegal Formation,1,8.0,8.0
UL Monroe,SBC,Holding,19,216.0,11.37
UL Monroe,SBC,False Start,11,28.0,2.55
UL Monroe,SBC,Other / Unclassified,11,104.0,9.45
UL Monroe,SBC,Pass Interference,5,36.0,7.2
UL Monroe,SBC,Delay of Game,4,15.0,3.75
UL Monroe,SBC,Face Mask,4,45.0,11.25
UL Monroe,SBC,Illegal Formation,4,81.0,20.25
UL Monroe,SBC,Offside,3,19.0,6.33
UL Monroe,SBC,Unsportsmanlike Conduct,3,17.0,5.67
UL Monroe,SBC,Personal Foul,1,8.0,8.0
UL Monroe,SBC,Targeting,1,34.0,34.0
UMass,MAC,False Start,17,57.0,3.35
UMass,MAC,Holding,17,161.0,9.47
UMass,MAC,Other / Unclassified,17,72.0,4.24
UMass,MAC,Face Mask,4,31.0,7.75
UMass,MAC,Personal Foul,4,105.0,26.25
UMass,MAC,Illegal Formation,3,35.0,11.67
UMass,MAC,Pass Interference,3,30.0,10.0
UMass,MAC,Offside,2,10.0,5.0
UMass,MAC,Unsportsmanlike Conduct,2,7.0,3.5
UMass,MAC,Illegal Motion,1,0.0,0.0
UMass,MAC,Roughing the Passer,1,18.0,18.0
UNLV,MWC,Holding,19,202.0,10.63
UNLV,MWC,False Start,13,56.0,4.31
UNLV,MWC,Pass Interference,10,144.0,14.4
UNLV,MWC,Personal Foul,9,132.0,14.67
UNLV,MWC,Offside,6,84.0,14.0
UNLV,MWC,Other / Unclassified,6,77.0,12.83
UNLV,MWC,Unsportsmanlike Conduct,3,31.0,10.33
UNLV,MWC,Delay of Game,2,10.0,5.0
UNLV,MWC,Face Mask,2,9.0,4.5
UNLV,MWC,Illegal Formation,1,0.0,0.0
USC,Big 10,Pass Interference,15,176.0,11.73
USC,Big 10,Other / Unclassified,13,135.0,10.38
USC,Big 10,False Start,8,39.0,4.88
USC,Big 10,Holding,5,21.0,4.2
USC,Big 10,Delay of Game,4,21.0,5.25
USC,Big 10,Offside,4,27.0,6.75
USC,Big 10,Illegal Formation,3,46.0,15.33
USC,Big 10,Face Mask,2,14.0,7.0
USC,Big 10,Unsportsmanlike Conduct,2,1.0,0.5
USC,Big 10,Personal Foul,1,0.0,0.0
USF,American,Holding,11,125.0,11.36
USF,American,Other / Unclassified,10,61.0,6.1
USF,American,False Start,7,35.0,5.0
USF,American,Pass Interference,6,106.0,17.67
USF,American,Personal Foul,6,30.0,5.0
USF,American,Offside,4,20.0,5.0
USF,American,Unsportsmanlike Conduct,4,45.0,11.25
USF,American,Face Mask,1,15.0,15.0
USF,American,Illegal Motion,1,46.0,46.0
USF,American,Roughing the Passer,1,0.0,0.0
UTEP,CUSA,Holding,14,188.0,13.43
UTEP,CUSA,Other / Unclassified,9,70.0,7.78
UTEP,CUSA,Offside,5,15.0,3.0
UTEP,CUSA,Personal Foul,5,72.0,14.4
UTEP,CUSA,Unsportsmanlike Conduct,5,71.0,14.2
UTEP,CUSA,False Start,4,17.0,4.25
UTEP,CUSA,Pass Interference,4,41.0,10.25
UTEP,CUSA,Delay of Game,3,5.0,1.67
UTEP,CUSA,Face Mask,1,6.0,6.0
UTEP,CUSA,Illegal Formation,1,0.0,0.0
UTEP,CUSA,Roughing,1,0.0,0.0
UTEP,CUSA,Roughing the Passer,1,14.0,14.0
UTSA,American,False Start,15,78.0,5.2
UTSA,American,Other / Unclassified,14,82.0,5.86
UTSA,American,Holding,11,110.0,10.0
UTSA,American,Pass Interference,10,147.0,14.7
UTSA,American,Face Mask,4,46.0,11.5
UTSA,American,Offside,4,42.0,10.5
UTSA,American,Delay of Game,2,10.0,5.0
UTSA,American,Personal Foul,2,31.0,15.5
UTSA,American,Unsportsmanlike Conduct,2,14.0,7.0
UTSA,American,Illegal Formation,1,1.0,1.0
UTSA,American,Targeting,1,15.0,15.0
Utah,Big 12,Pass Interference,13,87.0,6.69
Utah,Big 12,Holding,11,61.0,5.55
Utah,Big 12,Other / Unclassified,10,37.0,3.7
Utah,Big 12,False Start,9,26.0,2.89
Utah,Big 12,Personal Foul,5,17.0,3.4
Utah,Big 12,Face Mask,3,26.0,8.67
Utah,Big 12,Delay of Game,2,10.0,5.0
Utah,Big 12,Offside,2,6.0,3.0
Utah,Big 12,Illegal Motion,1,6.0,6.0
Utah,Big 12,Unsportsmanlike Conduct,1,15.0,15.0
Utah State,MWC,Holding,26,181.0,6.96
Utah State,MWC,Other / Unclassified,13,55.0,4.23
Utah State,MWC,False Start,10,37.0,3.7
Utah State,MWC,Pass Interference,6,49.0,8.17
Utah State,MWC,Face Mask,5,111.0,22.2
Utah State,MWC,Delay of Game,4,20.0,5.0
Utah State,MWC,Illegal Formation,4,18.0,4.5
Utah State,MWC,Offside,3,75.0,25.0
Utah State,MWC,Personal Foul,2,0.0,0.0
Utah State,MWC,Roughing,2,15.0,7.5
Utah State,MWC,Roughing the Kicker,1,36.0,36.0
Utah State,MWC,Unsportsmanlike Conduct,1,39.0,39.0
Vanderbilt,SEC,Holding,22,186.0,8.45
Vanderbilt,SEC,False Start,13,53.0,4.08
Vanderbilt,SEC,Pass Interference,10,110.0,11.0
Vanderbilt,SEC,Other / Unclassified,7,98.0,14.0
Vanderbilt,SEC,Delay of Game,6,30.0,5.0
Vanderbilt,SEC,Personal Foul,6,82.0,13.67
Vanderbilt,SEC,Roughing the Passer,5,30.0,6.0
Vanderbilt,SEC,Face Mask,4,21.0,5.25
Vanderbilt,SEC,Offside,4,15.0,3.75
Vanderbilt,SEC,Unsportsmanlike Conduct,3,0.0,0.0
Vanderbilt,SEC,Illegal Formation,1,46.0,46.0
Virginia,ACC,False Start,19,95.0,5.0
Virginia,ACC,Holding,15,155.0,10.33
Virginia,ACC,Other / Unclassified,11,114.0,10.36
Virginia,ACC,Offside,3,14.0,4.67
Virginia,ACC,Pass Interference,3,41.0,13.67
Virginia,ACC,Personal Foul,3,70.0,23.33
Virginia,ACC,Illegal Formation,2,50.0,25.0
