offense,defense,play_text,penalty_type,penalty_yards
Grambling,Langston University,"Grambling Penalty, delay of game (Johnny Schifano) to the LAN 41",Delay of Game,
Grambling,Langston University,"Ashton Frye pass incomplete to Keith Jones Jr. for a 1ST down Langston University Penalty, Defensive pass interference (Henry Ford) to the LAN 46 for a 1ST down",Pass Interference,
Grambling,Langston University,"Ashton Frye pass incomplete to Tylon Williams Grambling Penalty, illegal block (Tony Phillips) to the LAN 38",Other / Unclassified,
Stanford,Hawai'i,"Ben Gulbranson pass incomplete to Jonanthony Hall for a 1ST down Hawai'i Penalty, personal foul (Jamar Sekona) to the HAW 8 for a 1ST down",Personal Foul,
Langston University,Grambling,"Grambling Penalty, off-side (Warren Robinson) to the GRAM 48",Other / Unclassified,
Langston University,Grambling,"Langston University Penalty, false start (Adrian Dixon) to the LAN 47",False Start,
Grambling,Langston University,"Grambling Penalty, Offensive holding (-10 Yards) to the GRAM 45",Holding,10.0
Langston University,Grambling,"Langston University Penalty, false start (Zacchaeus Harris-Gulley) to the LAN 27",False Start,
Stanford,Hawai'i,"Stanford Penalty, delay of game (Jahsiah Galvan) to the STAN 17",Delay of Game,
Houston Christian,Little Rock,"D. Evans run for 1 yd for a TD,Arkansas Baptist College penalty, unsportsmanlike conduct (T. Williams) (C. Weinrich KICK)",Unsportsmanlike Conduct,
Little Rock,Houston Christian,"Arkansas Baptist College Penalty, delay of game (Sedrick Hill Jr.) to the Ark 27",Delay of Game,
Houston Christian,Little Rock,"Houston Christian Penalty, false start (Nonso Omezi) to the Ark 38",False Start,
Little Rock,Houston Christian,"Sedrick Hill Jr. run for 1 yd to the Ark 40 Arkansas Baptist College Penalty, Offensive holding (Tavareaun Williams) to the Ark 40",Holding,
Little Rock,Houston Christian,"Arkansas Baptist College Penalty, delay of game (Tavareaun Williams) to the Ark 18",Delay of Game,
Little Rock,Houston Christian,"Tyler Strickland punt , Matai Tomas returns for no gain to the Ark 18 Arkansas Baptist College Penalty, false start (Tavareaun Williams) to the Ark 13",False Start,
Little Rock,Houston Christian,"Tyler Strickland punt for 37 yds, punt out-of-bounds at the HCU 39 , Matai Tomas returns for no gain to the HCU 13 Houston Christian Penalty, Offensive holding (Marcus Moore) to the HCU 39",Holding,
Houston Christian,Little Rock,"Jake Weir pass complete to Keith Wheeler for 20 yds to the Ark 29 for a 1ST down Arkansas Baptist College Penalty, off-side (D'Angelo Baker) to the Ark 29 for a 1ST down",Other / Unclassified,
Little Rock,Houston Christian,"Arkansas Baptist College Penalty, substitution infraction (Tavareaun Williams) to the HCU 36",Other / Unclassified,
Houston Christian,Little Rock,"Jake Weir pass incomplete to Deacon Stanfield Arkansas Baptist College Penalty, off-side (Kumasi Washington) to the Ark 28",Other / Unclassified,
Stanford,Hawai'i,"Sedrick Irvin run for 3 yds to the HAW 46 Hawai'i Penalty, face mask (15 yards) (Luther McCoy) to the HAW 31",Face Mask,15.0
Little Rock,Houston Christian,"Arkansas Baptist College Penalty, delay of game (Tavareaun Williams) to the Ark 17",Delay of Game,
Houston Christian,Little Rock,"Maddox Kopp run for no gain to the 50 yard line Arkansas Baptist College Penalty, Offensive holding (Ben Mulholland) to the 50 yard line",Holding,50.0
Houston Christian,Little Rock,"Maddox Kopp run for 5 yds to the Ark 45 for a 1ST down Arkansas Baptist College Penalty, Defensive holding (Kumasi Washington) to the Ark 35 for a 1ST down",Holding,
Houston Christian,Little Rock,"Jordan Montanez run for no gain to the Ark 35 Houston Christian Penalty, illegal block (Tamarcus Gray Jr.) to the Ark 45",Other / Unclassified,
Houston Christian,Little Rock,"Maddox Kopp pass complete to Sam Peiffer for 12 yds to the Ark 23 Arkansas Baptist College Penalty, roughing passer (Tavareaun Williams) to the Ark 5",Roughing,
Houston Christian,Little Rock,"Maddox Kopp pass complete to Kyle Koontz for no gain to the Ark 39 Houston Christian Penalty, Offensive holding (-10 Yards) to the Ark 49",Holding,10.0
Houston Christian,Little Rock,"Jake Weir pass incomplete to Adrian Green Houston Christian Penalty, false start (-5 Yards) to the HCU 16",False Start,5.0
Little Rock,Houston Christian,"Arkansas Baptist College Penalty, false start (Tavareaun Williams) to the Ark 41",False Start,
Stanford,Hawai'i,"Ben Gulbranson pass incomplete to Jonanthony Hall for a 1ST down Hawai'i Penalty, Defensive pass interference (Jalen Smith) to the HAW 22 for a 1ST down",Pass Interference,
Stanford,Hawai'i,"Ben Gulbranson run for 1 yd to the HAW 16 Stanford Penalty, Offensive holding (Ziron Brown) to the HAW 16",Holding,
Hawai'i,Stanford,"Micah Alejado pass complete to Pofele Ashlock for 11 yds to the STAN 42 Stanford Penalty, face mask (15 yards) (Sam Mattingly) to the STAN 43",Face Mask,15.0
Little Rock,Houston Christian,"Arkansas Baptist College Penalty, substitution infraction (Tavareaun Williams) to the Ark 9",Other / Unclassified,
Little Rock,Houston Christian,"Tyler Strickland punt for 13 yds Arkansas Baptist College Penalty, illegal formation (Tavareaun Williams) to the Ark 22",Illegal Formation,
San Diego,Cal Poly,PENALTY USD Delay Of Game 5 yards from USD34 to USD29. NO PLAY.,Delay of Game,5.0
Cal Poly,San Diego,"Ty Dieffenbach pass incomplete to Michael Briscoe for a 1ST down San Diego Penalty, Defensive Pass Interference (Ezekiel Swayne) to the USD 12 for a 1ST down",Pass Interference,
Cal Poly,San Diego,"PENALTY CP False Start (Garrison,Jordan) 5 yards from CP47 to CP42. NO PLAY.",False Start,5.0
Cal Poly,San Diego,"No Huddle-Shotgun Washington,Tyrei rush middle for 2 yards gain to the USD46 (Rangel,Jerry) PENALTY CP Illegal Formation 5 yards from USD48 to CP47. NO PLAY.",Illegal Formation,2.0
Cal Poly,San Diego,"Ty Dieffenbach pass incomplete to Antoine Sullivan for a 1ST down San Diego Penalty, Defensive Offside (Jake Higgins) declined for a 1ST down",Offside,
Cal Poly,San Diego,"Shotgun Dieffenbach,Ty rush right for 3 yards gain to the USD00 TOUCHDOWN nullified by penalty, clock 14:57 PENALTY CP Holding (Otterstedt,Michael) 10 yards from USD03 to USD13. NO PLAY.",Holding,3.0
Stanford,Hawai'i,"Ben Gulbranson sacked by De'Jon Benton for 0 yards to the HAW 39 for a 1ST down Hawai'i Penalty, roughing passer (De'Jon Benton) to the HAW 46 for a 1ST down",Roughing,
Stanford,Hawai'i,"Ben Gulbranson sacked for a loss of 13 yards to the HAW 28 Stanford Penalty, intentional grounding (Ben Gulbranson) to the HAW 28",Other / Unclassified,13.0
Hawai'i,Stanford,"Micah Alejado run for 4 yds to the HAW 29 for a 1ST down Stanford Penalty, personal foul (Matt Rose) to the HAW 44 for a 1ST down",Personal Foul,
Cal Poly,San Diego,"Ty Dieffenbach pass incomplete to Alek Marshall for a 1ST down San Diego Penalty, Defensive Pass Interference (Jake Higgins) to the USD 2 for a 1ST down",Pass Interference,
San Diego,Cal Poly,"No Huddle-Shotgun Colombo,Matt rush middle for 1 yard loss to the USD42 (Nuanez,Matthew) PENALTY CP Illegal Formation 5 yards from USD43 to USD48. NO PLAY.",Illegal Formation,1.0
Cal Poly,San Diego,"Anthony Grigsby Jr. pass complete to Michael Briscoe for 1 yd to the CP 27 Cal Poly Penalty, (-10 Yards) to the CP 17",Other / Unclassified,10.0
San Diego,Cal Poly,"PENALTY CP Offside (Piland,Bobby) 5 yards from CP23 to CP18. NO PLAY.",Offside,5.0
Cal Poly,San Diego,"Ty Dieffenbach pass incomplete to Jordan Garrison for a 1ST down San Diego Penalty, UNS: Unsportsmanlike Conduct (Jake Higgins) to the USD 35 for a 1ST down",Unsportsmanlike Conduct,
Hawai'i,Stanford,"Micah Alejado pass complete to Pofele Ashlock for 5 yds to the STAN 39 for a 1ST down Stanford Penalty, face mask (15 yards) (Che Ojarikre) to the STAN 24 for a 1ST down",Face Mask,15.0
Hawai'i,Stanford,"Micah Alejado sacked by Clay Patterson for a loss of 12 yards to the STAN 36 for a 1ST down Stanford Penalty, unsportsmanlike conduct (Clay Patterson) to the STAN 21 for a 1ST down",Unsportsmanlike Conduct,12.0
Hawai'i,Stanford,"Cam Barfield run for 2 yds to the STAN 28 Hawai'i Penalty, Offensive holding (James Milovale) to the STAN 38",Holding,
Cal Poly,San Diego,PENALTY CP Illegal Substitution 5 yards from USD43 to USD48. NO PLAY.,Other / Unclassified,5.0
Cal Poly,San Diego,"San Diego Penalty, Horse Collar Tackle (Brian Coburn) to the USD 22 for a 1ST down",Other / Unclassified,
Texas Southern,Prairie View A&M,"Texas Southern Penalty, false start (-5 Yards) to the PV 46",False Start,5.0
Texas Southern,Prairie View A&M,"Christian Avelar kickoff for 60 yds , Kellen Stewart return for 20 yds to the PV 45 Prairie View A&M Penalty, Offensive holding (Ja'Koby Banks) to the PV 15",Holding,
Prairie View A&M,Texas Southern,"Texas Southern Penalty, off-side (Yards) to the PV 35",Other / Unclassified,
Prairie View A&M,Texas Southern,"Texas Southern Penalty, off-side (5 Yards) to the TXSO 22 for a 1ST down",Other / Unclassified,5.0
Hawai'i,Stanford,"Stanford Penalty, off-side (Ese Dubre) to the HAW 41",Other / Unclassified,
Hawai'i,Stanford,"Hawai'i Penalty, off-side (Dean Briski) to the HAW 24",Other / Unclassified,
Texas Southern,Prairie View A&M,"Christian Avelar kickoff Texas Southern Penalty, unsportsmanlike conduct (-15 Yards) to the TXSO 20",Unsportsmanlike Conduct,15.0
Texas Southern,Prairie View A&M,"Athean Renfro run for no gain to the TXSO 20 for a 1ST down Prairie View A&M Penalty, face mask (15 yards) (Ja'Koby Banks) to the TXSO 35 for a 1ST down",Face Mask,15.0
Texas Southern,Prairie View A&M,"Athean Renfro run for no gain to the TXSO 49 Texas Southern Penalty, Offensive holding (-10 Yards) to the TXSO 39",Holding,10.0
Prairie View A&M,Texas Southern,"Prairie View A&M Penalty, delay of game (Ja'Koby Banks) to the TXSO 45",Delay of Game,
Prairie View A&M,Texas Southern,"Cameron Peters pass incomplete Prairie View A&M Penalty, Offensive holding (Ja'Koby Banks) to the TXSO 45",Holding,
Texas Southern,Prairie View A&M,"Texas Southern Penalty, false start (-5 Yards) to the PV 46",False Start,5.0
Texas Southern,Prairie View A&M,"KJ Cooper pass incomplete to Trenton Leary Texas Southern Penalty, Offensive pass interference (-15 Yards) to the PV 41",Pass Interference,15.0
Texas Southern,Prairie View A&M,"Prairie View A&M Penalty, Offensive holding (Yards) to the TXSO 37",Holding,
Texas Southern,Prairie View A&M,"KJ Cooper pass incomplete to Trenton Leary for a 1ST down Prairie View A&M Penalty, Defensive pass interference (Eric Zachery) to the TXSO 37 for a 1ST down",Pass Interference,
Prairie View A&M,Texas Southern,"Prairie View A&M Penalty, delay of game (Ja'Koby Banks) to the TXSO 47",Delay of Game,
Prairie View A&M,Texas Southern,"Chase Bingmon run for no gain to the PV 44 Prairie View A&M Penalty, Offensive holding (Ja'Koby Banks) to the PV 34",Holding,
Prairie View A&M,Texas Southern,"Cameron Peters pass complete to Andre Dennis for a loss of 2 yards to the PV 49 Prairie View A&M Penalty, Offensive holding (Ja'Koby Banks) to the PV 43",Holding,2.0
Prairie View A&M,Texas Southern,"Cameron Peters pass intercepted Prairie View A&M Penalty, Defensive holding (Ja'Koby Banks) to the TXSO 1",Holding,
Prairie View A&M,Texas Southern,"Aiden Webb punt for 38 yds Texas Southern Penalty, substitution infraction (Yards) to the TXSO 1",Other / Unclassified,
Prairie View A&M,Texas Southern,"Cameron Peters pass incomplete Prairie View A&M Penalty, Offensive holding (Ja'Koby Banks) to the TXSO 45",Holding,
Prairie View A&M,Texas Southern,"Prairie View A&M Penalty, false start (Ja'Koby Banks) to the TXSO 43",False Start,
Texas Southern,Prairie View A&M,"KJ Cooper pass incomplete for a 1ST down Prairie View A&M Penalty, Defensive pass interference (Ja'Koby Banks) to the PV 28 for a 1ST down",Pass Interference,
Texas Southern,Prairie View A&M,"KJ Cooper pass incomplete for a 1ST down Prairie View A&M Penalty, Defensive pass interference (Ja'Koby Banks) to the PV 14 for a 1ST down",Pass Interference,
Texas Southern,Prairie View A&M,"Jeremy Ramirez kickoff for 39 yds , Kellen Stewart return for no gain to the PV 35 Prairie View A&M Penalty, Offensive holding (Ja'Koby Banks) to the PV 16",Holding,
Prairie View A&M,Texas Southern,"Cameron Peters pass incomplete, broken up by Jason Patterson Prairie View A&M Penalty, Offensive holding (Ja'Koby Banks) to the PV 6",Holding,
Prairie View A&M,Texas Southern,"Cameron Peters pass incomplete for a 1ST down Texas Southern Penalty, Defensive pass interference (8 Yards) to the TXSO 2 for a 1ST down",Pass Interference,8.0
Prairie View A&M,Texas Southern,"Cameron Peters pass incomplete Prairie View A&M Penalty, Offensive pass interference (Ja'Koby Banks) to the TXSO 17",Pass Interference,
Southern Utah,Idaho State,"Bronson Barron pass incomplete to Shane Carr for a 1ST down Idaho State Penalty, Personal Foul (Bronson Childs) to the IDST 32 for a 1ST down",Personal Foul,
Southern Utah,Idaho State,"Shotgun Barron,Bronson pass incomplete short right to Carr,Shane thrown to ISU00 PENALTY SUU Ineligible Downfield on Pass 5 yards from ISU10 to ISU15. NO PLAY.",Other / Unclassified,5.0
Southern Utah,Idaho State,"Jayden Rogers kickoff for 63 yds , Ian Duarte return for 46 yds to the IDST 19 Idaho State Penalty, Offensive Holding (10 Yards) to the IDST 18",Holding,10.0
Southern Utah,Idaho State,"Southern Utah Penalty, Illegal Block (-10 Yards) to the SUU 43",Other / Unclassified,10.0
Idaho State,Southern Utah,"No Huddle-Shotgun Cooke,Jordan pass incomplete short left to Morgan,Damien thrown to ISU16 PENALTY SUU Offside (Harper,Henry) 5 yards from ISU05 to ISU10. NO PLAY.",Offside,5.0
Delaware State,Delaware,"Delaware Penalty, unsportsmanlike conduct (2 Yards) to the DSU 23",Unsportsmanlike Conduct,2.0
Delaware State,Delaware,"PENALTY DSU Delay Of Game (Roberts,Dyson) 5 yards from DEL43 to DEL48. NO PLAY.",Delay of Game,5.0
Delaware,Delaware State,"No Huddle-Shotgun Minicucci,Nick pass complete deep right to Kelly,Ja'Carree caught at DEL50, for 24 yards to the DEL50 QB hurried by Robinson,Quincy (Scaife IV,Samuel) PENALTY DEL Holding (Snyder,Cole) 10 yards from DEL26 to DEL16. NO PLAY.",Holding,24.0
Delaware,Delaware State,"No Huddle-Shotgun Minicucci,Nick pass complete short middle to Sessoms,Elijah caught at DEL20, for 5 yards to the DEL21 (Bennett,Kaiden) PENALTY DSU Offside (Cossignani,Alexander) 5 yards from DEL16 to DEL21. NO PLAY.",Offside,5.0
Southern Utah,Idaho State,"(02:00) No Huddle-Shotgun Barron,Bronson pass complete deep right to Bails Jr.,Mark caught at SUU44, for 28 yards to the ISU48 (Tahir,Gabe; Leathers,Rylan) PENALTY ISU Offside offsetting SUU Illegal Use Of Hands offsetting. NO PLAY.",Offside,28.0
Idaho State,Southern Utah,"No Huddle-Shotgun Cooke,Jordan pass incomplete short right thrown to SUU00 QB hurried by Hicks,Kavyion PENALTY SUU Holding offsetting ISU Intentional Grounding offsetting. NO PLAY.",Holding,
Idaho State,Southern Utah,"No Huddle-Shotgun Cooke,Jordan pass incomplete short right to Shulikov,Michael thrown to SUU00 PENALTY SUU Pass Interference (Spence,Jakobi) 4 yards from SUU06 to SUU02, 1ST DOWN. NO PLAY.",Pass Interference,4.0
Idaho State,Southern Utah,"Mason Lindberg kickoff for 65 yds for a touchback Idaho State Penalty, Illegal Substitution (Camron Willis)",Other / Unclassified,
Idaho State,Southern Utah,"No Huddle-Shotgun Harsin,Davis pass incomplete short middle to Watts,Adam thrown to SUU45 PENALTY SUU Pass Interference (Johnson,Shyne) 15 yards from ISU45 to SUU40, 1ST DOWN. NO PLAY.",Pass Interference,15.0
UC Davis,Utah Tech,"Matteo Perez run for no gain to the UTU 26 UC Davis Penalty, Offensive holding (Zaire Collier) to the UTU 36",Holding,
UC Davis,Utah Tech,"Caden Pinnick pass complete to Matteo Perez for 2 yds to the UTU 18 UC Davis Penalty, face mask (0 yards) (Zaire Collier) to the UTU 18",Face Mask,
Utah Tech,UC Davis,"Reggie Graff run for 3 yds to the UTU 23 Utah Tech Penalty, Offensive holding (Bretton Stone) to the UTU 13",Holding,
Delaware State,Delaware,"PENALTY DSU False Start (Jones,James) 5 yards from DEL19 to DEL24. NO PLAY.",False Start,5.0
Delaware State,Delaware,"No Huddle-Shotgun Bennett,Kaiden rush right for 10 yards gain to the DEL14 (Trainer,Dillon; Matthews,Blake) PENALTY DSU Holding (Dau,Diu) 10 yards from DEL24 to DEL34. NO PLAY.",Holding,10.0
Delaware State,Delaware,"Marquis Gillis run for 12 yds for a 1ST down Delaware State Penalty, Offensive Holding (Antoine De Lau) to the DEL 31 for a 1ST down",Holding,
Delaware,Delaware State,"No Huddle-Shotgun Silver,Jo rush left for 7 yards gain to the DSU03 (Smith,Allen) PENALTY DEL Illegal Formation (Minicucci,Nick) 5 yards from DSU10 to DSU15. NO PLAY.",Illegal Formation,7.0
Delaware,Delaware State,"PENALTY DEL False Start (Rosahac,Noah) 5 yards from DSU15 to DSU20. NO PLAY.",False Start,5.0
Delaware State,Delaware,"PENALTY DSU Delay Of Game (Bennett,Kaiden) 5 yards from DSU25 to DSU20. NO PLAY.",Delay of Game,5.0
Delaware State,Delaware,"Delaware State Penalty, Illegal Formation (Kaiden Bennett) declined",Illegal Formation,
UC Davis,Utah Tech,"Caden Pinnick pass complete to Zaire Collier for no gain to the UCD 21 UC Davis Penalty, illegal touching (Zaire Collier) to the UCD 21",Other / Unclassified,
Utah Tech,UC Davis,"Chris Street run for no gain to the UCD 25 for a 1ST down UC Davis Penalty, personal foul (Jaden Few) to the UCD 12 for a 1ST down",Personal Foul,
Utah Tech,UC Davis,"Utah Tech Penalty, false start (Matthew Snarr) to the UTU 12",False Start,
UC Davis,Utah Tech,"Caden Pinnick pass incomplete to Stacy Dobbins for a 1ST down Utah Tech Penalty, Defensive pass interference (Aiden Aguayo) to the UTU 31 for a 1ST down",Pass Interference,
Delaware,Delaware State,"No Huddle-Shotgun Minicucci,Nick sacked for loss of 7 yards to the DSU15 (Cobbs,Alexander) PENALTY DSU Illegal Substitution 4 yards from DSU08 to DSU04. NO PLAY.",Other / Unclassified,7.0
Delaware State,Delaware,"Delaware Penalty, Personal Foul (James Yelbert Jr.) to the 50 yard line for a 1ST down",Personal Foul,50.0
UC Davis,Utah Tech,"Jordan Fisher run for 15 yds to the UCD 35 for a 1ST down UC Davis Penalty, unsportsmanlike conduct (Winston Williams) to the UCD 20 for a 1ST down",Unsportsmanlike Conduct,
UC Davis,Utah Tech,"Carter Vargas run for no gain to the 50 yard line UC Davis Penalty, Offensive holding (Jace Rodriguez) to the UCD 40",Holding,50.0
Utah Tech,UC Davis,"Bronson Barben pass complete to RJ Jones II for 5 yds to the UTU 28 for a 1ST down UC Davis Penalty, roughing passer (Sam Goligoski) to the UTU 43 for a 1ST down",Roughing,
San José State,Central Michigan,"(09:13) No Huddle-Shotgun Eget,Walker pass incomplete short right to Scudero,Danny thrown to CMU01 PENALTY CMU Pass Interference (Rikard,Elijah) 3 yards from CMU05 to CMU02, 1ST DOWN. NO PLAY.",Pass Interference,3.0
Delaware State,Delaware,"Kaiden Bennett run for 23 yds for a TD Delaware State Penalty, UNS: Unsportsmanlike Conduct (Jestus Johnson) to the DEL 0 (Patrick Fisher-Butler KICK)",Unsportsmanlike Conduct,
Delaware State,Delaware,"PENALTY DSU False Start (De Lau,Antoine) 5 yards from DEL25 to DEL30. NO PLAY.",False Start,5.0
Delaware State,Delaware,"No Huddle-Shotgun Bennett,Kaiden rush middle for 10 yards gain to the DEL20 (Cox Jr.,Kshawn) PENALTY DEL Illegal Substitution 5 yards from DEL30 to DEL25. NO PLAY.",Other / Unclassified,10.0
Delaware,Delaware State,"No Huddle-Shotgun Minicucci,Nick pass intercepted by Scaife IV,Samuel at DSU03 Scaife IV,Samuel return 13 yards to the DSU16 (Kelly,Ja'Carree) PENALTY DSU Holding 10 yards from DSU42 to DSU32, 1ST DOWN. NO PLAY.",Holding,13.0
Central Michigan,San José State,"PENALTY CMU False Start (Temple,Decorion) 5 yards from SJSU14 to SJSU19. NO PLAY.",False Start,5.0
Central Michigan,San José State,"(10:25) Labas,Joe pass complete short right to Dryden,Henry caught at SJSU05, for 8 yards to the SJSU00 TOUCHDOWN nullified by penalty, clock 10:19 PENALTY CMU Ineligible Downfield on Pass (Nehf,Matthew) 5 yards from SJSU08 to SJSU13. NO PLAY.",Other / Unclassified,8.0
Central Michigan,San José State,"Nahree Biggins run for 11 yds to the SJSU 17 for a 1ST down San José State Penalty, (9 Yards) to the SJSU 8 for a 1ST down",Other / Unclassified,9.0
Central Michigan,San José State,"(03:39) PENALTY CMU False Start (Booth,Jacob) 5 yards from CMU28 to CMU23. NO PLAY.",False Start,5.0
San José State,Central Michigan,"(00:06) Carrizosa,Trent punt 48 yards to the CMU15, out of bounds at CMU15 PENALTY SJSU Illegal Formation 5 yards from SJSU37 to SJSU32. NO PLAY.",Illegal Formation,48.0
Delaware State,Delaware,"PENALTY DSU Delay Of Game (Bennett,Kaiden) 5 yards from DSU24 to DSU19. NO PLAY.",Delay of Game,5.0
Delaware State,Delaware,"Delaware State Penalty, Illegal Formation (Yards) declined",Illegal Formation,
Delaware State,Delaware,"Kaiden Bennett pass complete to Marquis Gillis for 39 yds for a TD Delaware State Penalty, UNS: Unsportsmanlike Conduct (Kaiden Bennett) to the DEL 0 (Patrick Fisher-Butler KICK)",Unsportsmanlike Conduct,
Delaware State,Delaware,"Delaware State Penalty, UNS: Unsportsmanlike Conduct (-15 Yards) to the DEL 40",Unsportsmanlike Conduct,15.0
Central Michigan,San José State,"(10:43) Shotgun Lewis,Langston rush right for 4 yards gain to the CMU41 (Bainer,Jalen) PENALTY CMU Illegal Shift 5 yards from CMU37 to CMU32. NO PLAY.",Other / Unclassified,4.0
San José State,Central Michigan,"San José State Penalty, (-15 Yards) to the SJSU 31",Other / Unclassified,15.0
Central Michigan,San José State,"(01:25) Shotgun Flores,Angel rush middle for 4 yards gain to the SJSU01 (Latu,Taniela) PENALTY CMU Illegal Shift 5 yards from SJSU05 to SJSU10. NO PLAY.",Other / Unclassified,4.0
San José State,Central Michigan,"(12:50) No Huddle-Shotgun Chalk,Floyd rush middle for 5 yards gain to the SJSU48 (Cochran,Dakota) PENALTY SJSU Holding (Harbert,Joseph) 10 yards from SJSU43 to SJSU33. NO PLAY.",Holding,5.0
Delaware State,Delaware,"Kaiden Bennett pass incomplete to Ryan Pellum Taylor for a 1ST down Delaware Penalty, Defensive Pass Interference (Nyair Domnie) to the DEL 27 for a 1ST down",Pass Interference,
UL Monroe,St. Francis (PA),"(10:32) No Huddle-Shotgun Palmer-Smith,Zach rush middle for 5 yards gain to the ULM40 (Council,Kendric) PENALTY ULM Holding 10 yards from ULM35 to ULM25. NO PLAY.",Holding,5.0
San José State,Central Michigan,"(00:27) No Huddle-Shotgun Eget,Walker pass incomplete, Spike PENALTY CMU Illegal Substitution 5 yards from SJSU43 to SJSU48. NO PLAY.",Other / Unclassified,5.0
Tarleton State,Army,"(09:06) No Huddle-Shotgun Lewis,Caleb rush middle for 4 yards gain to the Army09 (Matteson,Collin) PENALTY Army Offside (Ford,Eric) 5 yards from Army13 to Army08. NO PLAY.",Offside,4.0
Tarleton State,Army,"(08:45) PENALTY Tarl False Start (Smith,Braden) 5 yards from Army08 to Army13. NO PLAY.",False Start,5.0
UL Monroe,St. Francis (PA),"PENALTY ULM Holding (Nixon,Julian) 10 yards from SFU34 to SFU44. NO PLAY.",Holding,10.0
Army,Tarleton State,"PENALTY Army False Start (Gennarelli,Paolo) 5 yards from Tarl02 to Tarl07. NO PLAY.",False Start,5.0
Tarleton State,Army,"(01:17) No Huddle-Shotgun Page III,Tre rush left for 53 yards gain to the Army00 TOUCHDOWN nullified by penalty, clock 01:15 PENALTY Tarl Holding (Smith,Hunter) 10 yards from Tarl47 to Tarl37. NO PLAY.",Holding,53.0
Tarleton State,Army,"PENALTY Tarl False Start (Jackson,Cody) 5 yards from Tarl37 to Tarl32. NO PLAY.",False Start,5.0
Tarleton State,Army,"Tarleton State Penalty, (Yards) to the TAR 14",Other / Unclassified,
Tarleton State,Army,"Charlie Mullen punt for 44 yds, punt out-of-bounds at the TAR 24 , returns for 28 yds to the TAR 36 Army Penalty, Offensive Holding (Stephen Nnadozie) to the TAR 24",Holding,
Tarleton State,Army,"Charlie Mullen punt for 44 yds, punt out-of-bounds at the ARMY 38 , Lloyd Benson III returns for 28 yds to the ARMY 36 Army Penalty, Offensive Holding (Stephen Nnadozie) to the ARMY 38",Holding,
Army,Tarleton State,"(09:43) Shotgun Coleman,Dewayne pass incomplete short left to Short,Noah thrown to Army46 QB hurried by Rice,Avian, 1ST DOWN, PENALTY Tarl Pass Interference (Woods Jr.,Stephen) 8 yards from Army37 to Army45, 1ST DOWN. NO PLAY.",Pass Interference,8.0
Tarleton State,Army,"PENALTY Tarl False Start (Smith,Braden) 5 yards from Army01 to Army06. NO PLAY.",False Start,5.0
Tarleton State,Army,"Tre Page III run for 28 yds to the ARMY 11 for a 1ST down Tarleton State Penalty, Offensive Holding (Reginald Harden Jr.) to the ARMY 21 for a 1ST down",Holding,
UL Monroe,St. Francis (PA),"PENALTY ULM False Start (Vinson,AJ) 5 yards from SFU40 to SFU45. NO PLAY.",False Start,5.0
St. Francis (PA),UL Monroe,"PENALTY SFU False Start (Whitfield Jr.,Nick) 5 yards from SFU31 to SFU26. NO PLAY.",False Start,5.0
UL Monroe,St. Francis (PA),"(08:57) No Huddle-Shotgun Armenta,Aidan pass complete deep left to Griffin,Tyler caught at SFU35, for 65 yards to the SFU00 TOUCHDOWN nullified by penalty, clock 08:43 PENALTY ULM Holding (McBroom,Que) 10 yards from ULM35 to ULM25. NO PLAY.",Holding,65.0
Army,Tarleton State,"(03:56) Coleman,Dewayne pass incomplete deep middle to Short,Noah thrown to Army48, 1ST DOWN, PENALTY Tarl Pass Interference (Emmons,Omar) 15 yards from Army23 to Army38, 1ST DOWN. NO PLAY.",Pass Interference,15.0
Army,Tarleton State,"Army Penalty, Offensive Holding (-10 Yards) to the ARMY 39",Holding,10.0
Army,Tarleton State,"(02:06) Coleman,Dewayne pass complete short left to Mott,Brady caught at Army41, for 8 yards to the Army49 (Kurns,Kasyus) PENALTY Army Ineligible Downfield on Pass (Jeffcoat,Will) 5 yards from Army41 to Army36. NO PLAY.",Other / Unclassified,8.0
Tarleton State,Army,"(01:47) No Huddle-Shotgun Lewis,Caleb rush right for 4 yards gain to the Tarl34 (Larkin,Casey) PENALTY Tarl Holding (Smith,Braden) 10 yards from Tarl30 to Tarl20. NO PLAY.",Holding,4.0
Army,Tarleton State,"(00:09) Hellums,Cale pass incomplete, Spike PENALTY Tarl Illegal Substitution 5 yards from Tarl31 to Tarl26. NO PLAY.",Other / Unclassified,5.0
Ohio State,Texas,"Shotgun Sayin,Julian pass incomplete deep left to Inniss,Brandon thrown to TEX19 broken up by Littleton,Graceson PENALTY TEX Face Mask (Simmons,Colin) 15 yards from TEX44 to TEX29, 1ST DOWN. NO PLAY.",Face Mask,15.0
Ohio State,Texas,"Shotgun Sayin,Julian pass incomplete short right thrown to TEX10 PENALTY TEX Holding (Muhammad,Malik) 10 yards from TEX28 to TEX18, 1ST DOWN. NO PLAY.",Holding,10.0
Ohio State,Texas,"Sayin,Julian rush right for 0 yards to the OSU02, out of bounds at OSU02 PENALTY OSU Holding offsetting TEX UNS: Unsportsmanlike Conduct offsetting. NO PLAY.",Holding,
Texas,Ohio State,"Texas Penalty, Offensive Holding (-10 Yards) to the TEX 45",Holding,10.0
Texas,Ohio State,"PENALTY TEX False Start (Wingo,Ryan) 5 yards from TEX49 to TEX44. NO PLAY.",False Start,5.0
